Amenity Type,Name,Latitude,Longitude
fast_food,Athicas Canteen,12.8942130,77.6025681
fast_food,Darbar,28.4528666,77.0406221
fast_food,Unknown,28.5099306,77.1682190
fast_food,McDonald's,28.5574267,77.1635699
fast_food,Unknown,26.6603126,79.1752507
fast_food,Bikanervala,28.4689302,77.0638804
fast_food,Unknown,28.4689088,77.0669775
fast_food,Domino's,28.4113681,77.0432317
fast_food,Meals House,12.8696335,77.6540449
fast_food,Food n Drinks,12.8507304,77.6573836
fast_food,Unknown,18.7924703,73.2974499
fast_food,McDonald's,18.5457237,73.9062599
fast_food,Nirula's,28.4106834,77.0431666
fast_food,Haldiram's,21.1418145,79.0820420
fast_food,Haldiram's,21.1414942,79.0608763
fast_food,Verka Milk Bar,30.2898333,75.8337204
fast_food,Srinidhi Sagar,12.9593353,77.6385869
fast_food,Saravana Bhavan,13.0345162,80.2690082
fast_food,KFC,12.9782444,77.6407376
fast_food,Subway,12.9637134,77.6403936
fast_food,Planet Yumm,12.9969184,80.2713903
fast_food,KFC,17.4507642,78.3793915
fast_food,Pizza Corner,17.4506168,78.3792198
fast_food,TIBBS Frankies,19.0550612,72.8307379
fast_food,Basket-Ball Canteen,17.4476500,78.3478760
fast_food,Saravana Bhavan,12.8375981,79.7039669
fast_food,Kalpakkam Canteen,12.5029186,80.1545529
fast_food,Haldiram's,13.0453726,80.2669904
fast_food,Domino's,28.6457998,77.1722681
fast_food,Subway,13.0614085,80.2487161
fast_food,Domino's,13.0354864,80.2496631
fast_food,Pizza Hut,23.7474430,90.3702179
fast_food,Star Kabab,23.7475099,90.3702012
fast_food,Marrybrown,13.0717985,80.2029951
fast_food,Subway,13.0266378,80.2326761
fast_food,Saravana Bhavan,13.0443330,80.2644982
fast_food,McDonald's,30.5500060,76.4868812
fast_food,Om Sweets,28.4529218,77.0502790
fast_food,Pupil,13.0010132,80.2709043
fast_food,Cozee,13.0010049,80.2708185
fast_food,Besant Fast Food,13.0005366,80.2667244
fast_food,Bhatia Sweet Shop & Fast Food,30.7693916,76.7922462
fast_food,Dosa Camp,13.0483946,77.5426609
fast_food,Unknown,28.5190366,77.1613391
fast_food,Domino's,12.8417186,77.6465145
fast_food,Pav Bhaji,13.0024438,77.5838636
fast_food,Fruit Shop on Greams Road,13.0603070,80.2546115
fast_food,Hajiali Juice Centre,13.0603857,80.2548150
fast_food,Sea Shell,13.0574642,80.2551093
fast_food,Baba Chiken,30.8897197,75.8306755
fast_food,Food Court,28.4939209,77.0932012
fast_food,Bademiya Seekh Kebab Stall,18.9231497,72.8325111
fast_food,McDonald's,28.5500151,77.2511173
fast_food,Subway,28.5500689,77.2510928
fast_food,Rajasthani Parotha Point,12.9514719,77.5774905
fast_food,Arya Vysya Refreshments,12.9510029,77.5776381
fast_food,Unknown,12.9512912,77.5774906
fast_food,Chai,28.2450663,83.9637347
fast_food,Ganesh Upahara,13.0468252,77.5494119
food_court,The Bay,12.9939354,77.6609577
food_court,Mess B,13.0188470,77.5629281
food_court,Mess A,13.0189607,77.5625244
food_court,Sharma Refreshment,30.8675382,75.8668252
food_court,Food Court,28.6144090,77.2767565
food_court,Food Court,18.7497964,73.5186464
food_court,Transit,12.9343647,77.6110938
food_court,McDonald's,31.2843072,75.6658622
food_court,Dining Halls,13.2763312,75.3439575
food_court,Food Court,29.3919468,79.4551000
food_court,KMC Food Court,13.3532091,74.7859029
food_court,IITM-RP Food Court,12.9903880,80.2427276
food_court,Aharam - The Food Court,12.8761229,77.5961005
food_court,Christ University Food Court,12.9346460,77.6067313
food_court,RightO,12.4954054,76.8036841
food_court,vinayaka food grains,13.2147764,79.0990026
food_court,Food Court,15.3646062,75.1240170
food_court,Saras Parlur,26.8619406,75.8065239
food_court,pandit pani puri,27.7007887,84.4255385
food_court,Pappu Hotel,30.5048006,76.6280408
food_court,Murugan Idli Shop,12.9021275,79.4801260
food_court,G.M. Rao Dhaba,17.6990473,77.5562026
food_court,Unknown,17.4157378,78.5518155
food_court,Unknown,27.5518860,83.8422129
food_court,Unknown,27.7061944,84.3547083
food_court,Unibic Foods,12.9694598,77.6416844
food_court,Unknown,12.9353215,77.6944935
food_court,GSB Canteen,23.7361427,90.4067393
food_court,Sai Ram Hot Chips,13.0015441,77.6298704
food_court,Jumde Bhajewala,20.8418342,79.3217881
food_court,Janatha Hotel,12.9483365,77.5988241
food_court,Puran Dhaka Biriyani,23.7558387,90.4111648
food_court,Dhaka Kabab Ghor,23.7508345,90.4091425
food_court,Cafetaria,15.5681829,74.0258829
food_court,Chadpur Hotel,23.7152484,90.4258086
food_court,Tripty Hotel,23.7338157,90.3828470
food_court,Jadubhai Tehari House,23.7806615,90.4079772
food_court,Babor Ali Biriani House,23.7178277,90.4253970
food_court,KHANA KHAZANA,21.2431969,81.6143896
