Amenity Type,Name,Latitude,Longitude,road,suburb,state_district,road_count,suburb_count,district_count
cafe,Cafe Indra,28.0158728,73.3272931,NH89,,Bikaner,49,0,150
cafe,Film City Cafe,28.0161397,73.3271232,NH89,,Bikaner,49,0,150
cafe,Prachina Cafe,28.0228235,73.3182397,Junagarh Fort Road,,Bikaner,9,0,150
restaurant,Redrock Resort & Restaurant,27.4283623,72.3745766,NH11,,Phalodi,5,0,5
restaurant,Gallops,28.0218626,73.3200972,Junagarh Fort Road,,Bikaner,9,0,150
restaurant,Rajwara,27.9993577,73.3339652,Sudharshana Nagar,,Bikaner,2,0,150
restaurant,Shan Ed Id,28.0179845,73.310189,Mahatma Gandhi Road,,Bikaner,11,0,150
restaurant,Chandra Niwas,28.0159877,73.3272598,NH89,,Bikaner,49,0,150
restaurant,Shri Shiv Sagar Restaurant,28.0190231,73.3165422,Mahatma Gandhi Road,,Bikaner,11,0,150
restaurant,Amberwalla,28.0145988,73.3139354,Mahatma Gandhi Road,,Bikaner,11,0,150
restaurant,Gabbar,28.0289803,73.3292961,Junagarh Fort Road,,Bikaner,9,0,150
restaurant,Hotel Radhe Krishna palace,27.9935141,73.3224662,Sudarshana Nagar,,Bikaner,7,0,150
restaurant,Al-Karim,27.9918513,73.3212966,NH89,Gangashahr,Bikaner,49,9,150
restaurant,Kai Kabila Restaurant,27.9940964,73.3223518,NH89,,Bikaner,49,0,150
restaurant,Tanvi Cafe,28.0093492,73.3000525,NH89,,Bikaner,49,0,150
restaurant,Laxmi Hotel,28.0145082,73.314035,Mahatma Gandhi Road,,Bikaner,11,0,150
restaurant,Seversl inexpensive Dhabas,28.0202616,73.3177819,Mahatma Gandhi Road,,Bikaner,11,0,150
restaurant,Gahlot Restaurant,28.0199296,73.317716,Mahatma Gandhi Road,,Bikaner,11,0,150
restaurant,Jeeman,28.019238,73.3166767,Mahatma Gandhi Road,,Bikaner,11,0,150
school,Dayananda Public School,28.0225169,73.328,NH89,,Bikaner,49,0,150
school,Shri jasnath shikshan sansthan,27.7337048,73.6733428,,,Bikaner,0,0,150
school,Saint Pauls School,27.09438,72.2956724,NH11,,Phalodi,5,0,5
fuel,BP Jamsar,28.2491389,73.4064752,NH62,,Bikaner,13,0,150
fuel,Jetharam Dudi,28.0241767,73.2907992,SH3,,Bikaner,12,0,150
fuel,Indian Oil,27.3795133,72.3482973,NH11,,Phalodi,5,0,5
fuel,Bharat,28.9153723,73.8603708,NH62,,Bikaner,13,0,150
fuel,Essar,27.3058071,73.6025723,NH62,,Nagaur,13,0,44
fuel,Essar,27.3924439,73.550777,NH62,,Nagaur,13,0,44
fuel,Indian Oil,27.48177,73.5034902,NH62,,Bikaner,13,0,150
fuel,Bharat,27.5132563,73.4926964,Nokha Bypass,,Bikaner,1,0,150
fuel,HP,27.6253303,73.4181498,NH62,,Bikaner,13,0,150
fuel,H P,27.6529553,73.3792602,NH62,,Bikaner,13,0,150
fuel,Indian Oil,27.8211154,73.3023698,NH62,,Bikaner,13,0,150
fuel,HP,27.0761713,72.2532994,NH11,,Phalodi,5,0,5
bank,United Bank of India,27.1998808,73.7320445,SH19,,Nagaur,21,0,44
bank,bank of baroda,27.1987603,73.7405106,SH19;90,,Nagaur,10,0,44
clinic,"Get Well Nursing Home, Bikaner",28.0102211,73.3429115,Sudarshan Nagar Vallabh Garden Road,,Bikaner,6,0,150
clinic,Surana Nursing Home,28.0040758,73.3274786,NH89,,Bikaner,49,0,150
clinic,Marothi Clinic,27.5565283,73.4738952,MDR37,,Bikaner,6,0,150
clinic,Bafna Clinic,27.9829047,73.3010771,NH89,Gangashahr,Bikaner,49,9,150
clinic,R K Orthopaedic and Trauma Centre,28.016276,73.336182,NH89,,Bikaner,49,0,150
clinic,GESI Clinic,28.0146724,73.3233432,NH89,,Bikaner,49,0,150
clinic,Harsh Clinic,28.0209016,73.2992635,SH3,,Bikaner,12,0,150
clinic,Guru Kripa Homoeo Clinic,28.0146317,73.313753,Mahatma Gandhi Road,,Bikaner,11,0,150
clinic,Dr. M.G. Periwal Clinic,27.5585699,73.4720116,SH20,,Bikaner,10,0,150
clinic,Ambika Clinic,28.0262125,73.3186948,Junagarh Fort Road,,Bikaner,9,0,150
clinic,Dr. Gurupal Clinic,28.5123333,72.8100994,NH911A,,Bikaner,1,0,150
clinic,Dr. Santosh Chandak Child Clinic,27.9883995,73.3013617,NH89,Gangashahr,Bikaner,49,9,150
clinic,Swasthya Seva Clinic,28.0509786,73.2879698,Lalgarh link SH 3,,Bikaner,3,0,150
clinic,Taparia Nursing Home,27.5565656,73.4740839,MDR37,,Bikaner,6,0,150
clinic,Dr Ashok Sharma's Clinic,28.0093268,73.3312701,NH89,,Bikaner,49,0,150
clinic,Dr. Manak Gujrani Clinic,28.0040216,73.3269418,NH89,,Bikaner,49,0,150
clinic,Roshni Gupta Clinic,28.5052088,72.8130828,NH911,,Bikaner,2,0,150
clinic,Janta Clinic,28.0030086,73.2712978,Moonlit School Road,,Bikaner,2,0,150
clinic,Dr. Mohammad Salim Clinic,28.0018441,73.3278728,NH89,,Bikaner,49,0,150
clinic,Amba Eye Care,28.700233,72.5951586,SH94,,Bikaner,3,0,150
clinic,Swami Homeo Clinic,28.017138,73.315314,Mahatma Gandhi Road,,Bikaner,11,0,150
clinic,Purohit Medicose,27.5574074,73.4720313,SH20,,Bikaner,10,0,150
clinic,Narul Clinic,28.4881772,73.7412674,SH6A,,Bikaner,5,0,150
clinic,Saaol Heart Centre,27.9937631,73.3363194,Sudarshana Nagar Inner Road,,Bikaner,2,0,150
clinic,Jai Kachhawa Clinic,28.022015,73.3132543,Junagarh Fort Road,,Bikaner,9,0,150
clinic,Dr. Mohit Bansal's Clinic,28.0140937,73.3244915,NH89,,Bikaner,49,0,150
clinic,Mind Care Clinic,28.0135343,73.3241127,NH89,,Bikaner,49,0,150
clinic,Yash Clinic,27.2138029,73.7306171,MDR 69,,Nagaur,1,0,44
