Amenity Type,Name,Latitude,Longitude,road,suburb,state_district
bar,Club Paraiso,21.2599271,81.5958741,Gudhiyari Road,,Raipur
bar,j juice bar,21.2427,81.6436235,NH30,,Raipur
bar,Metro 7X11,21.2403147,81.625387,G.E. Road,,Raipur
bar,Orchid,21.2517794,81.6480269,NH130B,,Raipur
cafe,CCD chotpara,21.2383648,81.6403175,stadium road,,Raipur
cafe,Cafe Coffee Day,21.2559191,81.6296579,Atal Path,,Raipur
cafe,Cafe Confusion,21.2271376,81.650141,NH53,,Raipur
cafe,H3 cafe,21.22391,81.650734,NH53,,Raipur
cafe,giani's,21.2180283,81.3322482,Junwani Road,,Durg
cafe,Nanhe coffee,21.1872011,81.3444606,Central Avenue,,Durg
fast_food,veggies,21.2456999,81.6416804,NH30,,Raipur
fast_food,GOLI Vada Pav No. 1,21.2435959,81.6344033,KK Road,,Raipur
fast_food,Little HUT,21.243981,81.6104305,G.E. Road,,Raipur
fast_food,Bunk class,21.2517898,81.5985313,GE Road,,Raipur
fast_food,Domino's,21.2557983,81.6295825,Atal Path,,Raipur
fast_food,Om Ganga Bhelpuri,21.2372988,81.5969802,NH53,,Raipur
fast_food,Jain Chat and Gupchup Centre,21.2368282,81.5960693,NH53,,Raipur
fast_food,BIRYANI Cafe Coffe Restaurant,21.2338922,81.5953294,NH53,,Raipur
food_court,KHANA KHAZANA,21.2431969,81.6143896,G.E. Road,,Raipur
food_court,Rajasthani Thali,21.2434044,81.6131723,G.E. Road,,Raipur
food_court,Canteen,21.2494172,81.6062306,GE Road,,Raipur
ice_cream,CELESTY,21.243989,81.6104019,G.E. Road,,Raipur
ice_cream,Ice Cream parler,21.2679215,81.6180732,shrinagar gondwara road,,Raipur
ice_cream,Natural Fresh Ice-Cream,21.2156291,81.3223737,Street-7,,Durg
restaurant,Grand Dhillon,21.2007865,81.323755,Durg Bypass Road,,Durg
restaurant,Flora the resturant,21.2473842,81.6434345,NH130B,,Raipur
restaurant,Mario's,21.2558241,81.6296152,Atal Path,,Raipur
restaurant,Indian chilly,21.2382441,81.6440812,NH30,,Raipur
restaurant,Good Food restaurant,21.2405404,81.6306648,GE Road,,Raipur
restaurant,Pizza Hut,21.2558937,81.6376719,NH30,,Raipur
restaurant,Nukkad the teafe,21.2465046,81.6232362,G.E. Road,,Raipur
restaurant,Bambooza good food hut,21.2382105,81.6438036,NH30,,Raipur
restaurant,Nest Bar&Resturant,21.2206038,81.6501992,Pachpedi Naka Flyover,,Raipur
