Amenity Type,Name,Latitude,Longitude,road,suburb,state_district,road_count,suburb_count,district_count,scaled_suburb,population
bar,Fire & Ice,28.590917,77.0580608,Central Road,,South West Delhi,1,0,49,0.0,1049
bar,Juice,28.6998789,77.2265694,Doctor KB Hedgewar Marg,Majnu Ka Tila,Central Delhi,9,8,99,1.0810810810810811,9100
bar,Milk,28.7000437,77.2271676,Doctor KB Hedgewar Marg,Majnu Ka Tila,Central Delhi,9,8,99,1.0810810810810811,9100
bar,Bar and restaurant,28.4541057,77.0512257,Delhi-Gurugram Expressway,Sector 15-II,,21,9,0,1.2162162162162162,21001
bar,Hops 'N' Brew,28.4682424,77.0628965,Leisure Valley Road,IFFCO Chowk,,17,27,0,3.6486486486486487,17003
bar,Zura,28.4683522,77.0634735,Leisure Valley Road,IFFCO Chowk,,17,27,0,3.6486486486486487,17003
bar,Yo!China,28.4683679,77.063493,Leisure Valley Road,IFFCO Chowk,,17,27,0,3.6486486486486487,17003
bar,Tripti Bar,28.5486023,77.1278858,Mahipalpur Flyover,,,4,0,0,0.0,4000
bar,Epid,28.5543725,77.194533,Hauz Khas Village Road,Hauz Khas,South Delhi,17,51,231,6.891891891891892,17237
bar,mohini bar,28.6332767,77.2238762,Connaught Lane,Chanakya Puri Tehsil,,6,56,0,7.567567567567568,6007
bar,sam ,28.6825094,77.2631292,Gali Number 8,Seelampur,North East Delhi,1,2,2,0.2702702702702703,1002
bar,Blue Frog,28.5271355,77.1857585,Kalka Das Marg,Mehrauli,South Delhi,2,9,231,1.2162162162162162,2232
bar,Mars,28.6341141,77.3702984,DME Service Road,Indirapuram,Ghaziabad,2,8,46,1.0810810810810811,2047
bar,barrique,28.4966352,77.0930125,Service Road,Sector 25A,,3,7,0,0.945945945945946,3000
bar,RPM,28.5575936,77.164158,Munirka Marg,Delhi Cantonment,,12,55,0,7.4324324324324325,12007
bar,The Gem Bar,28.6415015,77.2160786,Main Bazar Road,Paharganj,Central Delhi,9,16,99,2.1621621621621623,9101
bar,Aquarium,28.5323633,77.2428166,Alaknanda Road,Alaknanda,South East Delhi,5,20,189,2.7027027027027026,5191
bar,Fusion Bar,28.5333165,77.2429761,Road Number 5,Alaknanda,South East Delhi,11,20,189,2.7027027027027026,11191
bar,Uber Lounge,28.5335172,77.2433965,Road Number 5,Alaknanda,South East Delhi,11,20,189,2.7027027027027026,11191
bar,The Beer Cafe,28.5344841,77.2434299,Road Number 5,Alaknanda,South East Delhi,11,20,189,2.7027027027027026,11191
bar,Camino,28.534083,77.2427288,Road Number 5,Alaknanda,South East Delhi,11,20,189,2.7027027027027026,11191
bar,Laiq,29.1497254,77.6039572,MDR101W,Chacha,Meerut,3,3,31,0.40540540540540543,3031
bar,OMG Bar & Kitchen,28.6314049,77.2204463,Rajiv Chowk,Connaught Place,,6,74,0,10.0,6010
bar,My Love,28.6384556,77.2103969,Panchkuian Road,Karol Bagh Tehsil,Central Delhi,2,12,99,1.6216216216216217,2100
bar,Sam's bar,28.6411301,77.212683,Arya Nagar Road;Sang Trashan Marg,Karol Bagh Tehsil,Central Delhi,2,12,99,1.6216216216216217,2100
bar,The Beer Cafe - Biggie,28.6339043,77.2208954,Radial Road 5,Chanakya Puri Tehsil,,2,56,0,7.567567567567568,2007
bar,The Yard,28.5563371,77.2062561,Aurobindo Marg,Hauz Khas,South Delhi,17,51,231,6.891891891891892,17237
bar,Route 04,28.5998657,77.2261108,Khan Market,Chanakya Puri Tehsil,,7,56,0,7.567567567567568,7007
bar,Beer Cafe,28.6307208,77.2210523,Outer Circle,Connaught Place,,28,74,0,10.0,28010
bar,The Piano Man,28.559495,77.1968574,Chaudhary Harsukh Marg,Hauz Khas,South Delhi,4,51,231,6.891891891891892,4237
bar,Perch wine & coffee bar,28.5999612,77.2262647,Khan Market,Chanakya Puri Tehsil,,7,56,0,7.567567567567568,7007
