Amenity Type,Name,Latitude,Longitude
bar,jyoti,26.0703601,83.1808583
bar,Unknown,25.2985986,83.0019449
bar,Unknown,25.3060188,83.0089090
bar,Unknown,25.3326603,82.9886149
bar,Lassi,25.4299814,81.8610072
bar,Beer “Bar”,25.3088759,82.9993278
bar,Beer Bar,25.3092532,83.0026692
bar,Unknown,25.3386621,82.9823733
bar,Sol Bar,25.3387221,82.9800890
bar,Molecule - Varanasi,25.3035592,82.9761299
bar,Yelchiko Bar and Restaurant,25.3095133,82.9897179
bar,pravin bar,25.4583316,81.8639091
bar,aashish,25.4548525,81.8619289
bar,raju internationals,25.4571147,81.8656686
bar,beer bar mosowo,25.4492569,81.8578098
bar,Barcode,25.4550626,81.8349598
bar,Unknown,25.4500106,81.7829731
bar,Unknown,25.4501374,81.7841237
bar,Unknown,25.4501771,81.7833058
bar,Unknown,25.4504691,81.7838431
bar,Unknown,25.4501942,81.7831611
bar,Unknown,25.4497965,81.7844156
bar,Unknown,25.2616635,82.9814225
bar,CHEM DEPT BAR,25.2614529,82.9906851
bar,Unknown,25.4510259,81.8318108
cafe,Open Hand Shop and Café,25.2880028,83.0046032
cafe,Buddhu Tea Stall,26.5569604,82.6562059
cafe,Raees Tea Stall,26.5574714,82.6569801
cafe,Blue Lassi Shop,25.3123734,83.0113542
cafe,Niyati Cafe,25.3081571,83.0101627
cafe,cyber cafe,25.4389955,81.8585493
cafe,Maitri Jalpan Grih,25.2712044,82.9930809
cafe,Shiva cafe & German bakery,25.3026600,83.0072600
cafe,Ayyar's Cafè,25.3089017,83.0074940
cafe,Unknown,25.2709038,83.0254505
cafe,The Mark’s Café,25.2881479,83.0044397
cafe,Ashish’ Café,25.2894538,83.0061725
cafe,Dosa Cafe,25.3084503,83.0103322
cafe,Unknown,25.2892414,83.0059995
cafe,Shiva restaurant,25.2884351,83.0038522
cafe,Unknown,25.2886137,83.0047333
cafe,Unknown,25.3047224,83.0077219
cafe,Unknown,25.3838293,83.0258596
cafe,Unknown,25.2854285,83.0052638
cafe,jungle canteen,25.4943395,81.8624154
cafe,Nirman cafe,25.2784608,83.0055163
cafe,Vishnu Tea Emporium,25.3082151,83.0101450
cafe,Unknown,25.2811563,83.0031385
