name,latitude,longitude
Ramesh Nagar,28.6527444,77.1316496
Anand Vihar,28.6498106,77.3144992
Patel Nagar,28.6450127,77.1692817
Rithala,28.7208064,77.1071813
Pratap Nagar,28.6667177,77.1988974
Pul Bangash,28.6664068,77.2074156
Kashmere Gate,28.6674493,77.2282488
Kohat Enclave,28.6980415,77.1405393
Narela,28.8464766,77.0856631
Holambi Kalan,28.8015786,77.1024832
Khera Kalan,28.7696903,77.1158609
Karol Bagh,28.6440122,77.1885235
Kirti Nagar (Blue Line),28.655746,77.1506635
Shadipur,28.6515829,77.1582587
Moti Nagar,28.657859,77.1424288
Delhi Aerocity,28.5487786,77.1207949
Hauz Khas (Yellow Line),28.5442564,77.2067072
Shivaji Stadium,28.6288963,77.2113218
New Delhi,28.6434826,77.2227421
Tis Hazari,28.6671626,77.2166306
Delhi Cantonment,28.6117094,77.1156635
Shastri Park,28.6684339,77.2505301
Seelampur,28.6698165,77.2668137
Welcome (Red Line),28.6717524,77.2778548
Shahdara,28.6734298,77.2898858
Delhi Shahdara Junction,28.6734557,77.2922087
Jhilmil,28.6757197,77.3123949
Vivek Vihar,28.6731908,77.3182947
Shastri Nagar,28.6700885,77.1818589
Inderlok (Red Line),28.6735891,77.1703467
Kanhaiya Nagar,28.6824082,77.1647754
Keshav Puram,28.6889264,77.1616833
Netaji Subhash Place (Red Line),28.6960485,77.1524856
Pitam Pura,28.7032676,77.1322497
Rohini East,28.7076609,77.1259664
Delhi Safdarjang,28.5822036,77.1862115
Sewa Nagar,28.5789548,77.2276886
Okhla,28.5594753,77.2656232
Subzimandi,28.6685068,77.2004935
Delhi Junction,28.660932,77.2276494
GTB Nagar,28.6981333,77.2063998
Delhi Azadpur,28.7035041,77.1770629
Dayabasti,28.6671217,77.17119
Patel Nagar,28.6598088,77.156957
Delhi Sarai Rohilla,28.6627515,77.1852561
Adarsh Nagar,28.7144008,77.1672884
IGI Airport,28.5564626,77.0866995
Kalkaji Mandir,28.5494785,77.25909
Dhaula Kuan,28.5918719,77.1617158
New Delhi Airport Express Terminal,28.6424786,77.2231116
Palam,28.585353,77.0924713
Bijwasan,28.5369587,77.0512889
Anand Vihar Terminal,28.6488509,77.3155003
Kirti Nagar (Green Line),28.6545409,77.1513605
Satguru Ramsingh Marg,28.6620531,77.1577026
Shakurbasti,28.6814073,77.1275679
Tughlakabad,28.5034421,77.2970508
Brar Square,28.6137142,77.1405102
Delhi Kishanganj,28.6627442,77.1979077
Lajpat Nagar,28.5792815,77.2440352
Lodhi Colony,28.5797537,77.2168728
Pragati Maidan,28.6160392,77.2472109
Sarojini Nagar,28.5812101,77.1963127
Shivaji Bridge,28.6334521,77.2266682
Tilak Bridge,28.6280278,77.2378914
Vivekanand Puri,28.6644729,77.1838135
Hazrat Nizamuddin Junction,28.5889646,77.2535202
Rohini West,28.7149569,77.115385
Dhansa Bus Stand,28.6119086,76.9785264
Hauz Khas (Magenta Line),28.5433691,77.2050447
Munirka,28.5568967,77.1750592
Sukhdev Vihar,28.5597477,77.2749004
Vasant Vihar,28.557827,77.1611168
Shankar Vihar,28.5608462,77.1402814
Sadar Bazaar Cantonment,28.5771634,77.1111848
Palam,28.5889102,77.0830764
Dashrath Puri,28.60185,77.0823751
Janakpuri West,28.6289471,77.0779492
Greater Kailash,28.5419077,77.2384925
Kalindi Kunj,28.542916,77.3101107
Kalkaji Mandir,28.5503522,77.2569441
Okhla Vihar,28.5613002,77.2919304
Panchsheel Park,28.5423747,77.2210916
R. K. Puram,28.5503805,77.1855231
Jasola Vihar Shaheen Bagh,28.5458279,77.2966578
Terminal 1 IGI Airport,28.564835,77.1226566
Trilokpuri Sanjay Lake,28.613453,77.3088549
Anand Vihar (Blue Line),28.6468336,77.3158749
Karkarduma (Pink Line),28.6493434,77.3060686
Samaypur Badli,28.7446411,77.1382701
"Rohini Sector 18, 19",28.7383795,77.1398526
Jamia Millia Islamia,28.5630488,77.2863387
Shahabad Mohammadpur,28.5603258,77.0715537
Chirag Delhi,28.5411108,77.2303164
IP Extension,28.6319032,77.310718
Karkarduma Court,28.6536001,77.2957877
East Vinod Nagar - Mayur Vihar - II,28.6200437,77.3054069
Mandawali - West Vinod Nagar,28.624979,77.3044525
Burari X-ing,28.7298286,77.1995697
Jagatpur Village,28.7211162,77.223995
Khajoorikhas,28.7057735,77.2524068
Surghat,28.7102223,77.2274526
Haiderpur Badli Mor,28.7299398,77.1491044
Central Secretariat,28.6158794,77.2122822
Ghevra,28.6913435,76.9977711
Nangloi,28.6862813,77.0573608
Dwarka Sector 11,28.586443,77.0494433
Rajendra Place,28.6424955,77.1782756
Nehru Enclave,28.5460584,77.2515057
Sadar Bazar,28.658087,77.2170087
Shiv Vihar,28.721381,77.2894599
Gokulpuri,28.7024752,77.2861253
Maujpur-Babarpur,28.6920781,77.2796973
Jaffrabad,28.6826822,77.2748055
Welcome (Pink Line),28.6724018,77.2770239
East Azad Nagar,28.6646764,77.2848431
Krishna Nagar,28.6578127,77.2901199
New Delhi,28.6419258,77.2217499
Saket,28.521168,77.2022237
Majlis Park,28.7244312,77.181964
Vinobapuri,28.565871,77.2492973
Mayur Vihar - I (Pink Line),28.6036425,77.2909319
Mayur Vihar Pocket 1,28.6058619,77.2987023
Sarai Kale Khan - Nizamuddin,28.5887494,77.2572494
Ashram,28.5724231,77.2585979
Nasirpur,28.6028727,77.1076284
Sir M. Vishweshwaraiah Moti Bagh,28.5785326,77.175741
Bhikaji Cama Place,28.5702618,77.1878709
Dilli Haat - INA (Pink Line),28.5736524,77.2075857
Lajpat Nagar (Pink Line),28.56958,77.2385055
South Extension,28.5685664,77.2205677
Mayapuri,28.6371795,77.1297333
Rajouri Garden (Pink Line),28.6511896,77.1242597
Rajouri Garden (Blue Line),28.6490563,77.1227198
Netaji Subhash Place (Pink Line),28.6947146,77.1542607
Azadpur (Pink Line),28.7057821,77.1819488
Azadpur (Yellow Line),28.7070448,77.1803722
Dilli Haat - INA (Yellow Line),28.5741769,77.2093017
Lajpat Nagar (Violet Line),28.5705968,77.2364011
Anand Vihar (Pink Line),28.6466157,77.3155317
Karkarduma (Blue Line),28.6483176,77.3055178
Delhi Cantonment,28.6086496,77.1404515
Shalimar Bagh,28.7019574,77.1654317
Shakurpur,28.6857668,77.1496094
Sarojini Nagar,28.575817,77.1980786
Punjabi Bagh West,28.6727671,77.1391976
Naraina Vihar,28.6243852,77.1364438
ESI - Basaidarapur,28.6580737,77.1272678
Inderlok (Green Line),28.6727066,77.1691872
Ashok Park Main,28.6716045,77.155291
Punjabi Bagh,28.672995,77.1461239
Shivaji Park,28.6750317,77.1304722
Madipur,28.6764752,77.1193599
Paschim Vihar East,28.6773563,77.1122823
Peera Garhi,28.6798074,77.0926793
Udyog Nagar,28.681103,77.0808492
Surajmal Stadium,28.6818775,77.074
Nangloi,28.6824007,77.0647319
Nangloi Railway Station,28.6822009,77.0562463
Rajdhani Park,28.6823085,77.0439437
Mundka,28.6824341,77.0305741
Mundka Industrial Area,28.6833701,77.0171485
Ghevra,28.6852384,76.9961591
Tikri Kalan,28.6868849,76.9772082
Tikri Border,28.6880254,76.9640828
IIT Delhi,28.5470121,77.1945546
Indraprastha,28.6206019,77.249551
Yamuna Bank,28.6233124,77.268013
New Ashok Nagar,28.5890885,77.3015085
Mayur Vihar - I (Blue Line),28.604064,77.2895398
Dwarka Sector 12,28.5922362,77.0407315
Jhandewalan,28.6443188,77.1999165
Ramakrishna Ashram Marg,28.6392436,77.2085787
Rajiv Chowk,28.6327062,77.2193123
Barakhambha Road,28.6297676,77.2250046
Mandi House,28.6256122,77.2341966
Supreme Court,28.6234752,77.2425278
Dwarka Sector 10,28.5810577,77.0574996
Dwarka Sector 9,28.574272,77.0653316
Dwarka Sector 8,28.5656109,77.0670366
Dwarka Sector 21,28.5519218,77.0585605
Janakpuri West,28.6295839,77.078085
Uttam Nagar East,28.6248465,77.0652861
Uttam Nagar West,28.621757,77.0557122
Nawada,28.6202758,77.0450787
Dwarka Mor,28.61931,77.0332792
Dwarka (Grey Line),28.6158874,77.0224342
Dwarka (Blue Line),28.6149362,77.0227628
Dwarka Sector 14,28.6022218,77.0259765
Dwarka Sector 13,28.597009,77.0335407
Adarsh Nagar,28.7165805,77.1704223
Jahangirpuri,28.7259717,77.162658
Janakpuri East,28.633021,77.086757
Tilak Nagar,28.6365482,77.0964961
Subhash Nagar,28.6404593,77.1051815
Tagore Garden,28.6437265,77.11282
Model Town,28.7027136,77.1939912
AIIMS,28.5668602,77.2078058
Green Park,28.5580071,77.2067933
Civil Lines,28.6768508,77.2250299
Vidhan Sabha,28.6863222,77.2217271
Vishwa Vidyalaya,28.6950772,77.2147459
Malviya Nagar,28.5290656,77.2048241
Chhatarpur,28.5067242,77.1750019
Sultanpur,28.4991235,77.1613745
Chandni Chowk,28.6584227,77.2303375
Chawri Bazaar,28.6492649,77.2265153
Patel Chowk,28.6229664,77.214031
Udyog Bhavan,28.6095136,77.211796
Lok Kalyan Marg,28.5973513,77.2110967
Jor Bagh,28.5865094,77.2125273
Qutab Minar,28.512951,77.1864532
Ghitorni,28.493751,77.1491866
Arjan Garh,28.4807352,77.1257622
Nangli,28.6173003,77.0104375
Nehru Place,28.5514171,77.2517386
Kailash Colony,28.5553298,77.2419637
Lal Quila,28.657483,77.2366607
Khan Market,28.6022446,77.2291281
Delhi Gate,28.6392174,77.2407795
Rajiv Chowk,28.6327786,77.2196985
Paschim Vihar West,28.678613,77.1022154
Najafgarh,28.6124504,76.9865067
Laxmi Nagar,28.6305974,77.277523
Preet Vihar,28.6414176,77.2952819
Moolchand,28.5644044,77.2342555
Jangpura,28.5830386,77.2393151
Jawaharlal Nehru Stadium,28.5882347,77.2337833
Janpath,28.6240485,77.2192587
ITO,28.6281909,77.2410437
Govind Puri,28.5445521,77.2642761
Harkesh Nagar Okhla,28.5431808,77.275351
Mandi House,28.6255149,77.2341926
Dabri Mor - Janakpuri South,28.61572,77.0851893
Nirman Vihar,28.6364592,77.2868145
Mansarovar Park,28.675385,77.3008678
Kashmere Gate,28.6686728,77.228051
Yashobhoomi Dwarka Sector 25,28.5508323,77.0453073
Tughlkabad railway station,28.5039869,77.2938193
Krishna Park Extension,28.6477801,77.0844175
New Delhi,28.642999766087236,77.2193078495378
Patel Chowk,28.6233674,77.2144911
Jama Masjid,28.6500102045612,77.23767612985486
Akshardham,28.617939441260177,77.27941744374218
Badarpur,28.493252768145812,77.30303297751159
Okhla NSIC,28.55446741139993,77.26489898988602
Tughlakabad Metro Station,28.502448143943624,77.29931533906473
Durgabai Deshmukh South Campus,28.589371149953738,77.1694368542205
Mayur Vihar Extension,28.59419145,77.29462345
Sarita Vihar,28.52864608808335,77.28834920982341
Mohan Estate,28.51958038842927,77.29460287208542
Dilshad Garden,28.675868284157115,77.32147041740744
Jasola Apollo,28.5381627937536,77.28325688502568
"Delhi Metro, RK Puram",28.557915267477686,77.17384244684831
