embedding,node1,node2
[-0.00106982 -0.00244334],1,79
[ 0.00264242 -0.00221054],1,135
[0.00025482 0.00361406],1,112
[-0.00508387 -0.00173537],1,42
[ 0.00561664 -0.00127613],2,56
[-0.0065506   0.00049175],2,70
[0.00377367 0.00625217],2,92
[-0.00658823  0.00737443],2,31
[-0.00174009  0.00195363],3,89
[ 0.00342125 -0.0004184 ],3,106
[ 0.00691708 -0.00135392],3,30
[-0.00911228 -0.00490591],3,52
[ 0.00556487 -0.00121195],4,142
[0.00298805 0.00573726],4,87
[-0.00832673 -0.0005125 ],4,145
[-0.00500019  0.00533511],5,20
[-0.00523702 -0.00831688],5,114
[-0.00750696  0.00665236],5,130
[-0.00429687 -0.00332961],6,90
[ 0.00690555 -0.00089908],6,116
[-0.00714635  0.00053636],6,47
[0.00340227 0.00633347],6,83
[-0.00298421 -0.00781911],7,43
[0.00559736 0.00872333],7,72
[-0.00395539  0.01006948],7,65
[-0.0031103  -0.00489929],8,129
[ 0.00017768 -0.00666768],8,76
[ 0.004094   -0.00716329],8,139
[0.001956   0.01167454],8,85
[0.00159456 0.00070112],9,132
[0.00394439 0.0011297 ],9,57
[-0.00407409 -0.00111561],9,110
[-0.0003078  -0.00539674],9,45
[-0.00162537 -0.00260999],10,67
[0.00434606 0.00408199],10,81
[0.00048406 0.00772817],10,144
[ 0.00179098 -0.00640567],11,77
[ 0.00677273 -0.00288786],11,68
[-0.00863847 -0.00062456],11,93
[ 0.00223025 -0.00295393],12,78
[-0.00277453  0.00321502],12,100
[0.00575207 0.00149466],12,117
[-0.00939471  0.00261046],12,95
[-0.00455117 -0.00509693],13,121
[ 0.00041142 -0.00712345],13,51
[-0.00726669  0.00074973],13,69
[-0.0037475 -0.0021067],14,133
[ 0.00850165 -0.0057962 ],14,114
[0.00623171 0.00917304],14,130
[-0.00091217  0.00331911],15,107
[-0.00489237  0.00039694],15,98
[ 0.00426344 -0.00243829],15,41
[-0.0033096 -0.0045555],15,87
[-0.00024768 -0.00494351],16,137
[0.00513809 0.00230736],16,108
[-0.00571331 -0.00640884],16,65
