node1,node2,node1_lat,node1_lon,node2_lat,node2_lon,embedding
0,78,77.21961543,28.62795011,77.22068525,28.63039345,[-0.00106982 -0.00244334]
0,134,77.21961543,28.62795011,77.21697301,28.63016065,[ 0.00264242 -0.00221054]
0,111,77.21961543,28.62795011,77.21936061,28.62433605,[0.00025482 0.00361406]
0,41,77.21961543,28.62795011,77.2246993,28.62968548,[-0.00508387 -0.00173537]
1,55,77.20085137,28.5750403,77.19523473,28.57631643,[ 0.00561664 -0.00127613]
1,69,77.20085137,28.5750403,77.20740197,28.57454855,[-0.0065506   0.00049175]
1,91,77.20085137,28.5750403,77.1970777,28.56878813,[0.00377367 0.00625217]
1,30,77.20085137,28.5750403,77.2074396,28.56766587,[-0.00658823  0.00737443]
2,88,77.24711059,28.56808506,77.24885068,28.56613143,[-0.00174009  0.00195363]
2,105,77.24711059,28.56808506,77.24368934,28.56850346,[ 0.00342125 -0.0004184 ]
2,29,77.24711059,28.56808506,77.24019351,28.56943898,[ 0.00691708 -0.00135392]
2,51,77.24711059,28.56808506,77.25622287,28.57299097,[-0.00911228 -0.00490591]
3,141,77.19501892,28.65744015,77.18945405,28.6586521,[ 0.00556487 -0.00121195]
3,86,77.19501892,28.65744015,77.19203087,28.65170289,[0.00298805 0.00573726]
3,144,77.19501892,28.65744015,77.20334565,28.65795265,[-0.00832673 -0.0005125 ]
4,19,77.16340978,28.59330732,77.16840997,28.58797221,[-0.00500019  0.00533511]
4,113,77.16340978,28.59330732,77.1686468,28.6016242,[-0.00523702 -0.00831688]
4,129,77.16340978,28.59330732,77.17091674,28.58665496,[-0.00750696  0.00665236]
5,89,77.2242897,28.65694797,77.22858657,28.66027758,[-0.00429687 -0.00332961]
5,115,77.2242897,28.65694797,77.21738415,28.65784705,[ 0.00690555 -0.00089908]
5,46,77.2242897,28.65694797,77.23143605,28.65641161,[-0.00714635  0.00053636]
5,82,77.2242897,28.65694797,77.22088743,28.6506145,[0.00340227 0.00633347]
6,42,77.22693741,28.60064228,77.22992162,28.60846139,[-0.00298421 -0.00781911]
6,71,77.22693741,28.60064228,77.22134005,28.59191895,[0.00559736 0.00872333]
6,64,77.22693741,28.60064228,77.2308928,28.5905728,[-0.00395539  0.01006948]
7,128,77.180459,28.63049234,77.1835693,28.63539163,[-0.0031103  -0.00489929]
7,75,77.180459,28.63049234,77.18028132,28.63716002,[ 0.00017768 -0.00666768]
7,138,77.180459,28.63049234,77.176365,28.63765563,[ 0.004094   -0.00716329]
7,84,77.180459,28.63049234,77.178503,28.6188178,[0.001956   0.01167454]
8,131,77.21414228,28.6413942,77.21254772,28.64069308,[0.00159456 0.00070112]
8,56,77.21414228,28.6413942,77.21019789,28.6402645,[0.00394439 0.0011297 ]
8,109,77.21414228,28.6413942,77.21821637,28.64250981,[-0.00407409 -0.00111561]
8,44,77.21414228,28.6413942,77.21445008,28.64679094,[-0.0003078  -0.00539674]
9,66,77.24283302,28.58113615,77.24445839,28.58374614,[-0.00162537 -0.00260999]
9,80,77.24283302,28.58113615,77.23848696,28.57705416,[0.00434606 0.00408199]
9,143,77.24283302,28.58113615,77.24234896,28.57340798,[0.00048406 0.00772817]
10,76,77.1671973,28.56524207,77.16540632,28.57164774,[ 0.00179098 -0.00640567]
10,67,77.1671973,28.56524207,77.16042457,28.56812993,[ 0.00677273 -0.00288786]
10,92,77.1671973,28.56524207,77.17583577,28.56586663,[-0.00863847 -0.00062456]
11,77,77.24162709,28.64288676,77.23939684,28.64584069,[ 0.00223025 -0.00295393]
11,99,77.24162709,28.64288676,77.24440162,28.63967174,[-0.00277453  0.00321502]
11,116,77.24162709,28.64288676,77.23587502,28.6413921,[0.00575207 0.00149466]
11,94,77.24162709,28.64288676,77.2510218,28.6402763,[-0.00939471  0.00261046]
12,120,77.23309412,28.56583822,77.23764529,28.57093515,[-0.00455117 -0.00509693]
12,50,77.23309412,28.56583822,77.2326827,28.57296167,[ 0.00041142 -0.00712345]
12,68,77.23309412,28.56583822,77.24036081,28.56508849,[-0.00726669  0.00074973]
13,132,77.17714845,28.595828,77.18089595,28.5979347,[-0.0037475 -0.0021067]
13,113,77.17714845,28.595828,77.1686468,28.6016242,[ 0.00850165 -0.0057962 ]
13,129,77.17714845,28.595828,77.17091674,28.58665496,[0.00623171 0.00917304]
14,106,77.18872127,28.64714739,77.18963344,28.64382828,[-0.00091217  0.00331911]
14,97,77.18872127,28.64714739,77.19361364,28.64675045,[-0.00489237  0.00039694]
14,40,77.18872127,28.64714739,77.18445783,28.64958568,[ 0.00426344 -0.00243829]
14,86,77.18872127,28.64714739,77.19203087,28.65170289,[-0.0033096 -0.0045555]
15,136,77.22517949,28.58416396,77.22542717,28.58910747,[-0.00024768 -0.00494351]
15,107,77.22517949,28.58416396,77.2200414,28.5818566,[0.00513809 0.00230736]
15,64,77.22517949,28.58416396,77.2308928,28.5905728,[-0.00571331 -0.00640884]
15,71,77.22517949,28.58416396,77.22134005,28.59191895,[ 0.00383944 -0.00775499]
16,79,77.23235421,28.62940548,77.23328319,28.62490111,[-0.00092898  0.00450437]
16,41,77.23235421,28.62940548,77.2246993,28.62968548,[ 0.00765491 -0.00028   ]
16,149,77.23235421,28.62940548,77.2401334,28.63001215,[-0.00777919 -0.00060667]
17,101,77.21248173,28.6238738,77.21469943,28.62572665,[-0.0022177  -0.00185285]
17,137,77.21248173,28.6238738,77.20949938,28.61885024,[0.00298235 0.00502356]
17,118,77.21248173,28.6238738,77.21326092,28.63039935,[-0.00077919 -0.00652555]
17,54,77.21248173,28.6238738,77.21004392,28.6152687,[0.00243781 0.0086051 ]
18,124,77.1719766,28.6452781,77.16838398,28.64628632,[ 0.00359262 -0.00100822]
18,48,77.1719766,28.6452781,77.1768179,28.64279487,[-0.0048413   0.00248323]
18,121,77.1719766,28.6452781,77.17925563,28.64633673,[-0.00727903 -0.00105863]
19,129,77.16840997,28.58797221,77.17091674,28.58665496,[-0.00250677  0.00131725]
19,47,77.16840997,28.58797221,77.16465676,28.579314,[0.00375321 0.00865821]
20,87,77.2047071,28.5962354,77.1960832,28.5908405,[0.0086239 0.0053949]
20,95,77.2047071,28.5962354,77.19518535,28.60051443,[ 0.00952175 -0.00427903]
20,35,77.2047071,28.5962354,77.21290604,28.58725478,[-0.00819894  0.00898062]
21,112,77.19051033,28.5839457,77.19661627,28.58327727,[-0.00610594  0.00066843]
21,102,77.19051033,28.5839457,77.18852403,28.57621177,[0.0019863  0.00773393]
21,87,77.19051033,28.5839457,77.1960832,28.5908405,[-0.00557287 -0.0068948 ]
21,93,77.19051033,28.5839457,77.17942075,28.583142,[0.01108958 0.0008037 ]
22,60,77.22140691,28.6346417,77.21945255,28.63352556,[0.00195436 0.00111614]
22,100,77.22140691,28.6346417,77.22234934,28.6324872,[-0.00094243  0.0021545 ]
22,33,77.22140691,28.6346417,77.21793684,28.63433527,[0.00347007 0.00030643]
23,110,77.25376886,28.58930287,77.25056936,28.58613254,[0.0031995  0.00317033]
23,83,77.25376886,28.58930287,77.25121433,28.59729377,[ 0.00255453 -0.0079909 ]
23,126,77.25376886,28.58930287,77.257053,28.5803757,[-0.00328414  0.00892717]
24,96,77.20074924,28.64441407,77.20459367,28.641146,[-0.00384443  0.00326807]
24,73,77.20074924,28.64441407,77.1998861,28.64945637,[ 0.00086314 -0.0050423 ]
24,97,77.20074924,28.64441407,77.19361364,28.64675045,[ 0.0071356  -0.00233638]
25,70,77.18893471,28.56747517,77.18480122,28.57068373,[ 0.00413349 -0.00320856]
25,91,77.18893471,28.56747517,77.1970777,28.56878813,[-0.00814299 -0.00131296]
25,102,77.18893471,28.56747517,77.18852403,28.57621177,[ 0.00041068 -0.0087366 ]
26,147,77.22848394,28.64906178,77.23169567,28.645917,[-0.00321173  0.00314478]
26,52,77.22848394,28.64906178,77.23299366,28.64949654,[-0.00450972 -0.00043476]
26,148,77.22848394,28.64906178,77.2349318,28.65017372,[-0.00644786 -0.00111194]
26,140,77.22848394,28.64906178,77.22468318,28.64325575,[0.00380076 0.00580603]
27,132,77.1870849,28.60226897,77.18089595,28.5979347,[0.00618895 0.00433427]
27,95,77.1870849,28.60226897,77.19518535,28.60051443,[-0.00810045  0.00175454]
27,125,77.1870849,28.60226897,77.1808184,28.6077134,[ 0.0062665  -0.00544443]
28,119,77.2404893,28.60207171,77.23549097,28.6075379,[ 0.00499833 -0.00546619]
28,37,77.2404893,28.60207171,77.24364682,28.59165108,[-0.00315752  0.01042063]
28,104,77.2404893,28.60207171,77.2426321,28.6131498,[-0.0021428  -0.01107809]
29,120,77.24019351,28.56943898,77.23764529,28.57093515,[ 0.00254822 -0.00149617]
29,105,77.24019351,28.56943898,77.24368934,28.56850346,[-0.00349583  0.00093552]
29,68,77.24019351,28.56943898,77.24036081,28.56508849,[-0.0001673   0.00435049]
29,143,77.24019351,28.56943898,77.24234896,28.57340798,[-0.00215545 -0.003969  ]
30,69,77.2074396,28.56766587,77.20740197,28.57454855,[ 3.76300e-05 -6.88268e-03]
30,36,77.2074396,28.56766587,77.21652372,28.56913236,[-0.00908412 -0.00146649]
31,46,77.23578907,28.65636871,77.23143605,28.65641161,[ 4.35302e-03 -4.29000e-05]
31,148,77.23578907,28.65636871,77.2349318,28.65017372,[0.00085727 0.00619499]
31,133,77.23578907,28.65636871,77.2407394,28.65203313,[-0.00495033  0.00433558]
31,65,77.23578907,28.65636871,77.24166967,28.6616121,[-0.0058806  -0.00524339]
31,145,77.23578907,28.65636871,77.23263907,28.6631968,[ 0.00315    -0.00682809]
32,90,77.20587581,28.62842773,77.20872771,28.63353539,[-0.0028519  -0.00510766]
32,61,77.20587581,28.62842773,77.1990497,28.6309704,[ 0.00682611 -0.00254267]
32,118,77.20587581,28.62842773,77.21326092,28.63039935,[-0.00738511 -0.00197162]
32,62,77.20587581,28.62842773,77.20011698,28.61961517,[0.00575883 0.00881256]
33,60,77.21793684,28.63433527,77.21945255,28.63352556,[-0.00151571  0.00080971]
33,45,77.21793684,28.63433527,77.21675768,28.63240397,[0.00117916 0.0019313 ]
34,53,77.17664226,28.57222268,77.17436492,28.57748503,[ 0.00227734 -0.00526235]
34,92,77.17664226,28.57222268,77.17583577,28.56586663,[0.00080649 0.00635605]
34,70,77.17664226,28.57222268,77.18480122,28.57068373,[-0.00815896  0.00153895]
35,127,77.21290604,28.58725478,77.21806348,28.58926918,[-0.00515744 -0.0020144 ]
35,107,77.21290604,28.58725478,77.2200414,28.5818566,[-0.00713536  0.00539818]
35,71,77.21290604,28.58725478,77.22134005,28.59191895,[-0.00843401 -0.00466417]
36,135,77.21652372,28.56913236,77.22032066,28.56898774,[-0.00379694  0.00014462]
36,117,77.21652372,28.56913236,77.21998613,28.56406373,[-0.00346241  0.00506863]
36,69,77.21652372,28.56913236,77.20740197,28.57454855,[ 0.00912175 -0.00541619]
37,122,77.24364682,28.59165108,77.23992826,28.59009004,[0.00371856 0.00156104]
37,66,77.24364682,28.59165108,77.24445839,28.58374614,[-0.00081157  0.00790494]
37,110,77.24364682,28.59165108,77.25056936,28.58613254,[-0.00692254  0.00551854]
37,83,77.24364682,28.59165108,77.25121433,28.59729377,[-0.00756751 -0.00564269]
38,124,77.16584763,28.65335697,77.16838398,28.64628632,[-0.00253635  0.00707065]
38,72,77.16584763,28.65335697,77.15942453,28.64801433,[0.0064231  0.00534264]
38,74,77.16584763,28.65335697,77.16248565,28.6626378,[ 0.00336198 -0.00928083]
39,104,77.24928437,28.61803443,77.2426321,28.6131498,[0.00665227 0.00488463]
39,57,77.24928437,28.61803443,77.24508775,28.6282086,[ 0.00419662 -0.01017417]
39,149,77.24928437,28.61803443,77.2401334,28.63001215,[ 0.00915097 -0.01197772]
40,114,77.18445783,28.64958568,77.1835213,28.6543709,[ 0.00093653 -0.00478522]
