Amenity Type,Name,Latitude,Longitude
bar,jyoti,26.0703601,83.1808583
bar,Beer “Bar”,25.3088759,82.9993278
bar,Beer Bar,25.3092532,83.0026692
bar,Sol Bar,25.3387221,82.9800890
bar,Molecule - Varanasi,25.3035592,82.9761299
bar,Yelchiko Bar and Restaurant,25.3095133,82.9897179
bar,CHEM DEPT BAR,25.2614529,82.9906851
cafe,Open Hand Shop and Café,25.2880028,83.0046032
cafe,Blue Lassi Shop,25.3123734,83.0113542
cafe,Niyati Cafe,25.3081571,83.0101627
cafe,Maitri Jalpan Grih,25.2712044,82.9930809
cafe,Shiva cafe & German bakery,25.3026600,83.0072600
cafe,Ayyar's Cafè,25.3089017,83.0074940
cafe,The Mark’s Café,25.2881479,83.0044397
cafe,Ashish’ Café,25.2894538,83.0061725
cafe,Dosa Cafe,25.3084503,83.0103322
cafe,Shiva restaurant,25.2884351,83.0038522
cafe,Nirman cafe,25.2784608,83.0055163
cafe,Vishnu Tea Emporium,25.3082151,83.0101450
cafe,CAFE,25.2830628,83.0036434
cafe,IIT Cafeteria,25.2604996,82.9914058
cafe,Varanasi cafe & restaurant,25.3091913,83.0118591
cafe,कशी कैफ़े,25.2881316,83.0049416
cafe,लूसी'स हेरिटेज कैफ़े,25.3033262,83.0082942
cafe,The Dirty Chai Cafe,25.3062179,83.0090205
cafe,Kalika Dhaba,25.2881140,83.0016205
cafe,Lucy's Cafe,25.3035255,83.0081913
cafe,Lucy's heritage cafe,25.3033280,83.0083173
cafe,aashiq Cool cafe,25.8573636,83.8594245
cafe,Teaquila,25.2877021,83.0066154
cafe,The Chocolate Heaven,25.2935693,83.0021214
cafe,Bowl of compassion,25.3057840,83.0072379
cafe,Banarasi Chai Wala (Drinks ka daddy),25.2634417,82.9817728
cafe,CCD,25.2584148,82.9867973
cafe,Dg  Corner,25.2631534,82.9867534
cafe,banaarsi paan shop,25.2635427,82.9816794
cafe,COLD COFFEE,25.2656454,82.9888228
cafe,canteeen 1,25.2639917,82.9841062
cafe,sn bose  canteen,25.2635531,82.9837997
cafe,DG2 canteen,25.2635827,82.9853130
cafe,CANTEEN2,25.2640003,82.9842197
cafe,ROMAS CAFE DINNER,25.2813597,83.0032837
cafe,chachi tea,25.2634197,82.9817711
cafe,Pradeep Cafe,26.3117434,82.7330267
cafe,Kashirajchai,25.2604362,82.9816157
cafe,EC CAFE,25.2630879,82.9904318
cafe,NOIVE CAFE,25.2631635,82.9848995
cafe,JUICE CORNER,25.2630437,82.9832607
cafe,Chai Sutta Bar,26.2533939,82.0709106
fast_food,Domino's,25.2972961,83.0010019
fast_food,Bikanervala,25.2974007,83.0012414
fast_food,Nonsense fast food,25.2962842,83.0001463
fast_food,Madhu Sagar,25.2890288,83.0037725
fast_food,The Belgian Waffle,25.2996052,83.0012047
fast_food,Maa Laxmi Dosa Corner,25.3067302,83.0093202
fast_food,McDonald's,25.3356916,82.9778522
fast_food,Burger King,25.3359581,82.9771432
fast_food,Maharaja Fast Food,25.2800039,83.0030463
fast_food,Pahalwan Lassi,25.2820758,83.0032302
fast_food,Punjab ka fast food,25.8617480,83.8557113
fast_food,Shri shri krishna chinese corner,25.8600643,83.8604534
fast_food,"Fulki, Golgapaa to eat",25.3435710,82.9961550
fast_food,Mukhtar Chicken shop,25.3375274,82.9961847
fast_food,KFC,25.3119632,82.9883947
fast_food,Burger King,25.3164264,82.9897151
fast_food,Domino's,25.3165126,82.9900488
fast_food,McDonald's,25.3166111,82.9901884
fast_food,Keventers,25.2909115,83.0016358
fast_food,LC,25.2609084,82.9869136
fast_food,juice,25.2630278,82.9833066
fast_food,Pizza Club,25.2626622,82.9816188
fast_food,Shree Bakers,25.2622119,82.9816507
fast_food,sanjay chicken shop,25.2643405,82.9816314
fast_food,dr juice bar,25.3665042,82.9302561
fast_food,Deepak Fast Food Corner,26.2753346,82.4711766
fast_food,LC CORNER,25.2606031,82.9869929
fast_food,LC CORNER,25.2607979,82.9869582
fast_food,Rajendra chaat Corner,26.2751780,82.4711322
fast_food,SATWICK MESS,25.2616513,82.9840876
fast_food,Mochu Maggie Point,25.2629379,82.9817425
fast_food,SANTOSH FAST FOOD CORNER,25.2628297,82.9817641
fast_food,Bangs restaurant,25.2611611,82.9816341
fast_food,Vaishnavi Fast food,26.3117913,82.7310086
fast_food,anu food,26.3151430,82.7329784
fast_food,Jai,26.3130730,82.7366084
fast_food,Gulab Juice,25.2594391,82.9816215
fast_food,KFC,25.3357086,82.9774995
fast_food,Sagar Fast Food,25.2590436,82.9813285
fast_food,raja fast,26.3150570,82.7369626
fast_food,masala fast food,26.3150240,82.7399212
fast_food,FAST FOOD JUNCTION,25.2606102,82.9915022
food_court,Food Court,25.3358667,82.9771484
food_court,Momo Time,25.3409220,82.9966840
food_court,Gitanjali Fast Food corner,25.3482585,82.9941681
food_court,Ak fast food,25.3739415,82.9179851
food_court,om thandhai ghar,25.3736304,82.9188606
food_court,360 Degree dining,25.3683573,82.9275623
food_court,sanzha chulha,25.3695226,82.9255995
food_court,VISHWA CANTEN,25.2620444,82.9838058
food_court,SATWIK MMESS Q,25.2616233,82.9841298
food_court,NEW GIRLS HOSTEL CANTEEN,25.2611439,82.9838851
ice_cream,Ice cream shop,25.3437312,82.9957353
ice_cream,Rita Ice Cream Parlour,25.3255573,82.9925476
ice_cream,Baskin-Robbins,25.2904822,83.0018331
ice_cream,Amul Ice Cream Parlour,25.3040409,82.9771752
ice_cream,Lovely Icecream,26.2746039,82.4720060
restaurant,Chatni,25.2941407,83.0050673
restaurant,Marwadi Bhojanalay,25.3118420,83.0109213
restaurant,Phulwari Restaurant,25.3099636,83.0071967
restaurant,Pizzeria Vaatika,25.2893530,83.0060414
restaurant,Karki's Restaurant,25.2882184,83.0053907
restaurant,Kerala Cafe,25.2997186,83.0011830
restaurant,I:ba,25.2963844,83.0038952
restaurant,Madhu Bahar,25.2886758,83.0039218
restaurant,Star Hotel,25.3084967,83.0092660
restaurant,Madhur Milan Cafe,25.3085405,83.0097158
restaurant,SHRI Guest House,25.3069623,83.0098553
restaurant,Spicy Bites,25.3051585,83.0081148
restaurant,Apex,25.3089237,83.0121258
restaurant,JIOM Resturnt,26.3073222,83.0722656
restaurant,Ganpati,25.3091080,83.0122192
restaurant,kanjurmarg,26.0698073,83.1809162
restaurant,gopals,26.0699991,83.1809873
restaurant,New Baba,25.3049914,83.0081620
restaurant,The Keshari,25.3092903,83.0076598
restaurant,Ganga Fuji,25.3096482,83.0109745
restaurant,Megu Cafe,25.3103371,83.0098353
restaurant,Shiva Restaurant,25.2884268,83.0038878
restaurant,Shree Café,25.3079671,83.0100512
restaurant,Nepali,25.3083577,83.0096147
restaurant,Banarasi Tadka,25.2911600,83.0043433
restaurant,Kashi Chat,25.3093540,83.0062499
restaurant,Roma's Cafe Diner,25.2812969,83.0031147
restaurant,Salt & Pepper Food Hun,25.2941027,83.0047932
restaurant,Royal,25.3347023,82.9798741
restaurant,Shakti dhaba,25.2965602,82.4048177
restaurant,Aum Cafe - Organic Food 10/10!,25.2893630,83.0056019
restaurant,Kapachino,25.3042274,83.0075314
restaurant,Raga cafe,25.3111700,83.0134979
restaurant,Everest Cafe Momo Corner Restaurant,25.2968027,83.0070471
restaurant,Reliance,24.9798795,83.8824010
restaurant,Itihaas-Alley Restaurant,25.2883186,83.0042819
restaurant,Angeethee Resturant,25.2872587,83.0050150
restaurant,Pritam Lal and Company,25.2304125,83.9202952
restaurant,BBC restaurant and hotel,25.2787574,83.0025286
restaurant,Dolphin Restaurant,25.3081958,83.0111787
restaurant,Sha,25.3133005,83.0046481
restaurant,Carvaan Cafe & Restaurant,25.2881951,83.0052254
restaurant,Deena Chat Bhandar,25.3090691,83.0023133
restaurant,Hangout,25.2938130,83.0000413
restaurant,Kerala Ganges,25.3087471,83.0115043
restaurant,Canton Royale Restaurant,25.3390821,82.9799160
restaurant,Sagar Ratna,25.2813819,83.0032224
restaurant,Bindass Restaurant,25.2623493,82.9816430
restaurant,k p restaurant,25.8595265,83.8581810
restaurant,Sri Annapurna Restaurent,25.3099294,82.9887763
restaurant,Pind Baluchi,25.3089162,82.9909262
restaurant,Pink - The Colour Cafe,25.3089194,82.9909466
restaurant,Kasora Restaurant,25.3010722,82.9558356
restaurant,Chicago Pizza,25.3006423,82.9692811
restaurant,Bengal Sweet House,25.2840040,82.9693379
restaurant,Rasna Family Restaurant,25.3070834,82.9919506
restaurant,Kovil Restaurant,25.3119674,82.9867677
restaurant,The Yellow Chilli,25.3055163,82.9810198
restaurant,Ambrosia,25.2777473,82.9672239
restaurant,Mehfil,25.2866939,83.0017022
restaurant,Banaras Sweet House and Bhojanalaya,25.2789746,82.9987794
restaurant,Capsicum,25.2802842,83.0026685
restaurant,VNS Live Studio,25.3182588,82.9916193
restaurant,Wife on Leave,25.3211342,82.9911781
restaurant,Machan,25.2877642,82.9692105
restaurant,The Taste Factory,25.3058219,82.9859362
restaurant,Ksheer Sagar,25.3113365,82.9892046
restaurant,Crystal Bowl,25.2903842,83.0018114
restaurant,Ksheer Sagar,25.2932557,83.0024791
restaurant,Parthos,25.3052140,82.9792966
restaurant,Ksheer Sagar,25.3161738,82.9678179
restaurant,Bhagirathi Food Plaza,25.2893311,82.9694725
restaurant,Banaras Sweet House,25.2691284,82.9826179
restaurant,Singh's Delight Restaurant,25.2615400,82.9814667
restaurant,Subway Varanasi,25.2947217,83.0001728
restaurant,Ice dew ice cream,25.2950226,83.0005599
restaurant,The Arabic Cafe,25.2949796,83.0006753
restaurant,Nonsense Fast Food,25.2965454,82.9991854
restaurant,breakfast centre,25.0182224,82.3601259
restaurant,शिवांगी लंच हाउस,25.3053215,82.9925403
restaurant,Shanti Restaurant,25.3048518,83.0077197
restaurant,Jyoti Cafe,25.3056593,83.0086228
restaurant,AM 2 PM Restaurant,25.2595214,82.9815196
restaurant,Relish Scoop Bar and Cafe,25.2634152,82.9817206
restaurant,Clock Tower,26.2753215,82.4711415
restaurant,Underground Cafe,26.2752273,82.4714497
restaurant,Abhisek Fastfood Corner,26.2714313,82.4679498
restaurant,Cimaya,25.2638528,82.9815187
restaurant,kavyanjali sweet house,25.2635938,82.9816088
restaurant,sheik chill small shop,25.2635759,82.9816356
restaurant,foodie friend's,25.2649386,82.9817699
restaurant,NH 56 hotel,25.3546362,82.9656729
restaurant,sagar bhojanalay,25.3547741,82.9660329
restaurant,dosa crush,25.3546180,82.9660590
restaurant,mahadev nariyal pani,25.3546448,82.9655978
restaurant,new lucknow biryani,25.3545406,82.9660654
restaurant,KVS (food court),25.2636939,82.9815272
restaurant,champaran meat house,25.2635514,82.9816600
restaurant,Sangam Bhauri Chokha Corner,26.2713297,82.4674623
restaurant,Kashi Restaurant,25.2799400,82.9922718
restaurant,Paprika Food Court,25.2796698,83.0030165
restaurant,Sunbeam Bhagwanpur Canteen,25.2732741,83.0013881
restaurant,Banarsi Biryani,25.2894898,83.0013967
restaurant,Chicken Shwawarma Wala,25.2894782,83.0013667
restaurant,Aman-e-Khas,25.2970064,83.0023604
restaurant,Western Street n Cafe,25.2881654,83.0014010
restaurant,Champaran Meat House,25.2883900,83.0017394
restaurant,Waah Mumbai!,25.2911695,83.0013304
restaurant,Lucky Restaurent,26.3131277,82.7334572
restaurant,Anu food,26.3126076,82.7416851
restaurant,Raj bhojnalya,26.3091471,82.7429973
restaurant,G,26.3117197,82.7337101
restaurant,Nate Bhoj,26.3091850,82.7426841
restaurant,Anand food,26.3132223,82.7350224
restaurant,Tasty foody,26.3128732,82.7391876
restaurant,AM2PM RESTAURANT,25.2602834,82.9815127
restaurant,*,26.3146034,82.7347176
restaurant,masti,26.3150284,82.7426925
restaurant,Raju Dhaba,26.3141557,82.7391961
restaurant,Masala Restaurent,26.3134044,82.7376214
restaurant,Yadav restaurent,26.3101640,82.7368172
restaurant,Lata food,26.3078873,82.7368764
restaurant,Swadistya,26.3088435,82.7380955
restaurant,YUM,26.3082060,82.7408724
restaurant,Popular Bati Chokha,25.3115714,82.9877375
restaurant,Pizza Hut,25.3357406,82.9776527
restaurant,Barbeque Nation,25.3356607,82.9774700
