Amenity Type,Name,Latitude,Longitude
bar,jyoti,26.0703601,83.1808583
bar,Lassi,25.4299814,81.8610072
bar,Beer “Bar”,25.3088759,82.9993278
bar,Beer Bar,25.3092532,83.0026692
bar,Sol Bar,25.3387221,82.980089
bar,Molecule - Varanasi,25.3035592,82.9761299
bar,Yelchiko Bar and Restaurant,25.3095133,82.9897179
bar,pravin bar,25.4583316,81.8639091
bar,aashish,25.4548525,81.8619289
bar,raju internationals,25.4571147,81.8656686
bar,beer bar mosowo,25.4492569,81.8578098
bar,Barcode,25.4550626,81.8349598
bar,CHEM DEPT BAR,25.2614529,82.9906851
cafe,Open Hand Shop and Café,25.2880028,83.0046032
cafe,Buddhu Tea Stall,26.5569604,82.6562059
cafe,Raees Tea Stall,26.5574714,82.6569801
cafe,Blue Lassi Shop,25.3123734,83.0113542
cafe,Niyati Cafe,25.3081571,83.0101627
cafe,cyber cafe,25.4389955,81.8585493
cafe,Maitri Jalpan Grih,25.2712044,82.9930809
cafe,Shiva cafe & German bakery,25.30266,83.00726
cafe,Ayyar's Cafè,25.3089017,83.007494
cafe,The Mark’s Café,25.2881479,83.0044397
cafe,Ashish’ Café,25.2894538,83.0061725
cafe,Dosa Cafe,25.3084503,83.0103322
cafe,Shiva restaurant,25.2884351,83.0038522
cafe,jungle canteen,25.4943395,81.8624154
cafe,Nirman cafe,25.2784608,83.0055163
cafe,Vishnu Tea Emporium,25.3082151,83.010145
cafe,CAFE,25.2830628,83.0036434
cafe,IIT Cafeteria,25.2604996,82.9914058
cafe,Varanasi cafe & restaurant,25.3091913,83.0118591
cafe,कशी कैफ़े,25.2881316,83.0049416
cafe,लूसी'स हेरिटेज कैफ़े,25.3033262,83.0082942
cafe,The Dirty Chai Cafe,25.3062179,83.0090205
cafe,Kalika Dhaba,25.288114,83.0016205
cafe,Lucy's Cafe,25.3035255,83.0081913
cafe,Lucy's heritage cafe,25.303328,83.0083173
cafe,Teaquila,25.2877021,83.0066154
cafe,The Chocolate Heaven,25.2935693,83.0021214
cafe,SHIVAM CAFE,25.4540569,81.8673507
cafe,sanam cafe,25.4554516,81.8633732
cafe,amitabh cafe,25.4515721,81.8720321
cafe,star world cafe,25.4517357,81.8723434
cafe,nilgiri cafe,25.4506044,81.8737826
cafe,prayagraj cafe,25.4456327,81.8830037
cafe,murli ram,25.4485167,81.8616121
cafe,nescafe,25.4483036,81.8583077
cafe,CAFE 96,25.4921714,81.8645434
cafe,Bowl of compassion,25.305784,83.0072379
cafe,Old School Cafe,25.4547275,81.8334642
cafe,Coffee Machine,25.4571116,81.8352448
cafe,Cafe Coffee Day,25.4524789,81.8369485
cafe,Parinda Cafe,25.4065675,81.8679108
cafe,Banarasi Chai Wala (Drinks ka daddy),25.2634417,82.9817728
cafe,CCD,25.2584148,82.9867973
cafe,Dg  Corner,25.2631534,82.9867534
cafe,banaarsi paan shop,25.2635427,82.9816794
cafe,COLD COFFEE,25.2656454,82.9888228
cafe,canteeen 1,25.2639917,82.9841062
cafe,sn bose  canteen,25.2635531,82.9837997
cafe,DG2 canteen,25.2635827,82.985313
cafe,SUVISTO SHAKES,25.46223,81.8408364
cafe,MAHI CAFE,25.463838,81.859026
cafe,CANTEEN2,25.2640003,82.9842197
cafe,ROMAS CAFE DINNER,25.2813597,83.0032837
cafe,chachi tea,25.2634197,82.9817711
cafe,Pradeep Cafe,26.3117434,82.7330267
cafe,Kashirajchai,25.2604362,82.9816157
cafe,EC CAFE,25.2630879,82.9904318
cafe,NOIVE CAFE,25.2631635,82.9848995
cafe,JUICE CORNER,25.2630437,82.9832607
cafe,Chai Sutta Bar,26.2533939,82.0709106
cafe,Rasna Buzz,25.4554364,81.8346715
cafe,Starbucks,25.4526592,81.8340924
fast_food,McDonald's,25.4504642,81.8363247
fast_food,Softy Corner,25.4500252,81.8346828
fast_food,Tuck In,25.454238,81.834923
