Amenity Type,Name,Latitude,Longitude,road,suburb,state_district
bar,jyoti,26.0703601,83.1808583,shiv temple,,Azamgarh
bar,Lassi,25.4299814,81.8610072,Naini Bridge,New Bairahana,Prayagraj
bar,Beer “Bar”,25.3088759,82.9993278,Luxa Road,,Varanasi
bar,Beer Bar,25.3092532,83.0026692,Luxa Road,,Varanasi
bar,Sol Bar,25.3387221,82.980089,The Mall Road,Cantonment,Varanasi
bar,Molecule - Varanasi,25.3035592,82.9761299,Raja Sir Motichand Road,,Varanasi
bar,Yelchiko Bar and Restaurant,25.3095133,82.9897179,Vidyapeeth Lanka Road,Cantonment,Varanasi
bar,pravin bar,25.4583316,81.8639091,Hashimpur Road,George Town,Prayagraj
bar,aashish,25.4548525,81.8619289,Jawaharlal Nehru Road,George Town,Prayagraj
bar,raju internationals,25.4571147,81.8656686,Hashimpur Road,George Town,Prayagraj
bar,beer bar mosowo,25.4492569,81.8578098,Hamilton Road,George Town,Prayagraj
bar,Barcode,25.4550626,81.8349598,Sardar Patel Marg,Civil Lines,Prayagraj
bar,CHEM DEPT BAR,25.2614529,82.9906851,Semi Circle RD,,Varanasi
cafe,Open Hand Shop and Café,25.2880028,83.0046032,Dumraon Colony Road,,Varanasi
cafe,Buddhu Tea Stall,26.5569604,82.6562059,Rajghat Road,,Ambedkar Nagar
cafe,Raees Tea Stall,26.5574714,82.6569801,Rajghat Road,,Ambedkar Nagar
cafe,Blue Lassi Shop,25.3123734,83.0113542,Tripura Bhairwi,,Varanasi
cafe,Niyati Cafe,25.3081571,83.0101627,Dashashwamedh Road,,Varanasi
cafe,cyber cafe,25.4389955,81.8585493,Defunct railway line,New Bairahana,Prayagraj
cafe,Maitri Jalpan Grih,25.2712044,82.9930809,Radial Road 5,,Varanasi
cafe,Shiva cafe & German bakery,25.30266,83.00726,Godowalia Lanka Road,,Varanasi
cafe,Ayyar's Cafè,25.3089017,83.007494,Dashashwamedh Road,,Varanasi
cafe,The Mark’s Café,25.2881479,83.0044397,Dumraon Colony Road,,Varanasi
cafe,Ashish’ Café,25.2894538,83.0061725,Assi Ghat Road,,Varanasi
cafe,Dosa Cafe,25.3084503,83.0103322,,,Varanasi
cafe,Shiva restaurant,25.2884351,83.0038522,Pandit Manmohan Malviya Road,,Varanasi
cafe,jungle canteen,25.4943395,81.8624154,NH30,Teliyarganj,Prayagraj
cafe,Nirman cafe,25.2784608,83.0055163,Ramnagar Road,,Varanasi
cafe,Vishnu Tea Emporium,25.3082151,83.010145,Dashashwamedh Road,,Varanasi
cafe,CAFE,25.2830628,83.0036434,11,,Varanasi
cafe,IIT Cafeteria,25.2604996,82.9914058,cafetaria gate road,,Varanasi
cafe,Varanasi cafe & restaurant,25.3091913,83.0118591,Tripura Bhairwi,,Varanasi
cafe,कशी कैफ़े,25.2881316,83.0049416,Assi Ghat Road,,Varanasi
cafe,लूसी'स हेरिटेज कैफ़े,25.3033262,83.0082942,Dashashwamedh Road,,Varanasi
cafe,The Dirty Chai Cafe,25.3062179,83.0090205,Dashashwamedh Road,,Varanasi
cafe,Kalika Dhaba,25.288114,83.0016205,Ravindrapuri Road,,Varanasi
cafe,Lucy's Cafe,25.3035255,83.0081913,Dashashwamedh Road,,Varanasi
cafe,Lucy's heritage cafe,25.303328,83.0083173,Dashashwamedh Road,,Varanasi
cafe,Teaquila,25.2877021,83.0066154,Assi Ghat Road,,Varanasi
cafe,The Chocolate Heaven,25.2935693,83.0021214,Ravindrapuri Road,,Varanasi
cafe,SHIVAM CAFE,25.4540569,81.8673507,Jawaharlal Nehru Road,George Town,Prayagraj
cafe,sanam cafe,25.4554516,81.8633732,Jawaharlal Nehru Road,George Town,Prayagraj
cafe,amitabh cafe,25.4515721,81.8720321,krishna kunj road,Allahpur,Prayagraj
cafe,star world cafe,25.4517357,81.8723434,krishna kunj road,Allahpur,Prayagraj
cafe,nilgiri cafe,25.4506044,81.8737826,krishna kunj road,Allahpur,Prayagraj
cafe,prayagraj cafe,25.4456327,81.8830037,"Daraganj, Kachhi sadak",Allahpur,Prayagraj
cafe,murli ram,25.4485167,81.8616121,Malviya Road,George Town,Prayagraj
cafe,nescafe,25.4483036,81.8583077,Hamilton Road,George Town,Prayagraj
cafe,CAFE 96,25.4921714,81.8645434,Chatham Lines,Old Cantonment,Prayagraj
cafe,Bowl of compassion,25.305784,83.0072379,Godowalia Lanka Road,,Varanasi
cafe,Old School Cafe,25.4547275,81.8334642,Tashkent Marg,Civil Lines,Prayagraj
cafe,Coffee Machine,25.4571116,81.8352448,Purushottamdas Tandon Marg,Civil Lines,Prayagraj
cafe,Cafe Coffee Day,25.4524789,81.8369485,Lal Bahadur Shastri Marg,Civil Lines,Prayagraj
cafe,Parinda Cafe,25.4065675,81.8679108,Mirzapur Road,Kharkauni,Prayagraj
cafe,Banarasi Chai Wala (Drinks ka daddy),25.2634417,82.9817728,g1 road,,Varanasi
cafe,CCD,25.2584148,82.9867973,Radial Road 11,,Varanasi
cafe,Dg  Corner,25.2631534,82.9867534,Radial Road 9,,Varanasi
cafe,banaarsi paan shop,25.2635427,82.9816794,g1 road,,Varanasi
cafe,COLD COFFEE,25.2656454,82.9888228,Semi Circle RD,,Varanasi
cafe,canteeen 1,25.2639917,82.9841062,cycle stand,,Varanasi
cafe,sn bose  canteen,25.2635531,82.9837997,cycle stand,,Varanasi
cafe,DG2 canteen,25.2635827,82.985313,Diagonal Rd,,Varanasi
cafe,SUVISTO SHAKES,25.46223,81.8408364,Stanley Road,Katra,Prayagraj
cafe,MAHI CAFE,25.463838,81.859026,,George Town,Prayagraj
cafe,CANTEEN2,25.2640003,82.9842197,cycle stand,,Varanasi
cafe,ROMAS CAFE DINNER,25.2813597,83.0032837,Pandit Manmohan Malviya Road,,Varanasi
cafe,chachi tea,25.2634197,82.9817711,g1 road,,Varanasi
cafe,Pradeep Cafe,26.3117434,82.7330267,Malipur Road,,Ambedkar Nagar
cafe,Kashirajchai,25.2604362,82.9816157,Semi Circle Road 6,,Varanasi
cafe,EC CAFE,25.2630879,82.9904318,Radial Road 9,,Varanasi
cafe,NOIVE CAFE,25.2631635,82.9848995,Radial Road 9,,Varanasi
cafe,JUICE CORNER,25.2630437,82.9832607,Semi Circle Road 5,,Varanasi
cafe,Chai Sutta Bar,26.2533939,82.0709106,Laksmanpur-Sastri Nagar Rd,,Sultanpur
cafe,Rasna Buzz,25.4554364,81.8346715,Tashkent Marg,Civil Lines,Prayagraj
cafe,Starbucks,25.4526592,81.8340924,Lal Bahadur Shastri Marg,Civil Lines,Prayagraj
fast_food,McDonald's,25.4504642,81.8363247,Subhash Chauraha,Civil Lines,Prayagraj
fast_food,Softy Corner,25.4500252,81.8346828,Subhash Chauraha,Civil Lines,Prayagraj
fast_food,Tuck In,25.454238,81.834923,Sardar Patel Marg,Civil Lines,Prayagraj
fast_food,Maurya Food shop,25.4638906,81.8685714,Bhola wali gali,Allahpur,Prayagraj
fast_food,Domino's,25.2972961,83.0010019,Durgakund Road,,Varanasi
fast_food,Bikanervala,25.2974007,83.0012414,Durgakund Road,,Varanasi
fast_food,kabab roll,25.4395737,81.8601102,Bank Road,New Bairahana,Prayagraj
fast_food,kinara cafe,25.4308661,81.8696222,Paade Ground Road,New Bairahana,Prayagraj
fast_food,Nonsense fast food,25.2962842,83.0001463,Durgakund Road,,Varanasi
fast_food,Night Food Market,25.4509157,81.8738052,krishna kunj road,Allahpur,Prayagraj
fast_food,Madhu Sagar,25.2890288,83.0037725,Pandit Manmohan Malviya Road,,Varanasi
fast_food,The Belgian Waffle,25.2996052,83.0012047,Durgakund Road,,Varanasi
fast_food,Maa Laxmi Dosa Corner,25.3067302,83.0093202,Dashashwamedh Road,,Varanasi
fast_food,McDonald's,25.3356916,82.9778522,The Mall Road,Cantonment,Varanasi
fast_food,Burger King,25.3359581,82.9771432,The Mall Road,Cantonment,Varanasi
fast_food,KFC,25.4494547,81.8396055,MG Marg,Civil Lines,Prayagraj
fast_food,Maharaja Fast Food,25.2800039,83.0030463,Pandit Manmohan Malviya Road,,Varanasi
fast_food,Pahalwan Lassi,25.2820758,83.0032302,Ravindrapuri Road,,Varanasi
fast_food,"Fulki, Golgapaa to eat",25.343571,82.996155,Premchand Road,Cantonment,Varanasi
fast_food,Mukhtar Chicken shop,25.3375274,82.9961847,Premchand Road,Cantonment,Varanasi
fast_food,KFC,25.3119632,82.9883947,Vidyapeeth Lanka Road,Cantonment,Varanasi
fast_food,Burger King,25.3164264,82.9897151,Patel Road,Cantonment,Varanasi
fast_food,Domino's,25.3165126,82.9900488,Patel Road,Cantonment,Varanasi
fast_food,McDonald's,25.3166111,82.9901884,Patel Road,Cantonment,Varanasi
fast_food,Keventers,25.2909115,83.0016358,Ravindrapuri Road,,Varanasi
fast_food,bablu ka burger,25.4562764,81.8719369,Bakshi Bandh,Allahpur,Prayagraj
fast_food,shivam dhaba,25.4546405,81.8748663,krishna kunj road,Allahpur,Prayagraj
fast_food,manan k samose,25.4555483,81.8736007,Bakshi Bandh,Allahpur,Prayagraj
fast_food,vivek,25.4560368,81.8637866,Hashimpur Road,George Town,Prayagraj
fast_food,akhil food,25.4516574,81.873604,krishna kunj road,Allahpur,Prayagraj
fast_food,ashwin khana,25.451503,81.8740761,krishna kunj road,Allahpur,Prayagraj
fast_food,aradhana pizza,25.4501805,81.8746119,krishna kunj road,Allahpur,Prayagraj
fast_food,agnus,25.4644911,81.8497076,Muir Road,Katra,Prayagraj
fast_food,F1  FOOD CORNER,25.4631397,81.8514024,Manmohan Park,Katra,Prayagraj
fast_food,chinese special,25.4499854,81.8594878,CY Chintamani Road,George Town,Prayagraj
fast_food,MAN LUBHAVNI,25.4571872,81.8562956,Pannalal Road,George Town,Prayagraj
fast_food,Burger King,25.4547575,81.8348243,Sardar Patel Marg,Civil Lines,Prayagraj
fast_food,Kamdhenu Sweets,25.45035,81.8323071,Stretchy Road,Civil Lines,Prayagraj
fast_food,Kushwaha Sweets And Namkeen,25.4016604,81.8692986,Arail Road,Arail,Prayagraj
fast_food,Banarasi Chaat Bhandar,25.4518973,81.8349147,Lal Bahadur Shastri Marg,Civil Lines,Prayagraj
fast_food,Domino's,25.4499169,81.8342057,Subhash Chauraha,Civil Lines,Prayagraj
fast_food,Hari Ram & Sons,25.436335,81.8340632,Loknath Road,Chowk,Prayagraj
fast_food,Shri Radhe Ras Kunj Sweet House,25.4364805,81.8340787,Loknath Road,Chowk,Prayagraj
fast_food,Burger Games,25.3986363,81.8740825,Chak Bhatahi Road,ADA Colony,Prayagraj
fast_food,Amul,25.3985122,81.874378,Chak Bhatahi Road,ADA Colony,Prayagraj
fast_food,Domino's,25.4558061,81.8354896,Tashkent Marg,Civil Lines,Prayagraj
fast_food,Pawan Namkeen,25.4364995,81.8409951,Grand Trunk Road,Chowk,Prayagraj
fast_food,Sulaki Lal Sri Nath & Sons,25.4364808,81.8410678,Grand Trunk Road,Chowk,Prayagraj
fast_food,Kamdhenu Confectionary,25.4530143,81.8367566,Lal Bahadur Shastri Marg,Civil Lines,Prayagraj
fast_food,Belgian Waffle Co,25.4525146,81.836957,Lal Bahadur Shastri Marg,Civil Lines,Prayagraj
fast_food,LC,25.2609084,82.9869136,Semi Circle Road 4,,Varanasi
fast_food,AGGRAHRI FAST FOOD,25.3797685,81.8461126,FCI Road,,Prayagraj
fast_food,Raj Sweets Shop,25.4646157,81.8665323,Band Road,Allahpur,Prayagraj
fast_food,DEENA NATH CORNER,25.4641834,81.8653992,Band Road,Allahpur,Prayagraj
fast_food,Banarasi Sweets,25.3940224,81.8609955,Naini Bazar Road,,Prayagraj
fast_food,Nirala Sweet House,25.4368027,81.8228033,Noorullah Road,Roshan Bagh,Prayagraj
fast_food,Pehelwan Juice Corner,25.4520481,81.8351929,Lal Bahadur Shastri Marg,Civil Lines,Prayagraj
fast_food,sonam fast food,26.3510197,82.2292754,NH128,,Sultanpur
fast_food,juice,25.2630278,82.9833066,Radial Road 9,,Varanasi
fast_food,Pizza Club,25.2626622,82.9816188,Radial Road 9,,Varanasi
fast_food,Shree Bakers,25.2622119,82.9816507,g1 road,,Varanasi
fast_food,sanjay chicken shop,25.2643405,82.9816314,Semi Circle Road 6,,Varanasi
fast_food,dr juice bar,25.3665042,82.9302561,NH31,,Varanasi
fast_food,Deepak Fast Food Corner,26.2753346,82.4711766,MDR113E,,Sultanpur
fast_food,LC CORNER,25.2606031,82.9869929,Semi Circle Road 4,,Varanasi
fast_food,LC CORNER,25.2607979,82.9869582,Semi Circle Road 4,,Varanasi
fast_food,Rajendra chaat Corner,26.275178,82.4711322,MDR113E,,Sultanpur
fast_food,Nirvana Foods,25.46547,81.8715912,Bhola wali gali,Allahpur,Prayagraj
fast_food,Abhi fast food corner,25.4638403,81.8655001,Band Road,Allahpur,Prayagraj
fast_food,SATWICK MESS,25.2616513,82.9840876,Semi Circle Road 5,,Varanasi
fast_food,Mochu Maggie Point,25.2629379,82.9817425,Radial Road 9,,Varanasi
fast_food,SANTOSH FAST FOOD CORNER,25.2628297,82.9817641,Radial Road 9,,Varanasi
fast_food,Bangs restaurant,25.2611611,82.9816341,Semi Circle Road 6,,Varanasi
fast_food,Vaishnavi Fast food,26.3117913,82.7310086,Malipur Road,,Ambedkar Nagar
fast_food,anu food,26.315143,82.7329784,MDR155E,,Ambedkar Nagar
fast_food,Jai,26.313073,82.7366084,MDR82E,,Ambedkar Nagar
fast_food,Gulab Juice,25.2594391,82.9816215,Radial Road 10,,Varanasi
fast_food,KFC,25.3357086,82.9774995,The Mall Road,Cantonment,Varanasi
fast_food,Sagar Fast Food,25.2590436,82.9813285,Radial Road 10,,Varanasi
fast_food,raja fast,26.315057,82.7369626,MDR155E,,Ambedkar Nagar
fast_food,masala fast food,26.315024,82.7399212,MDR155E,,Ambedkar Nagar
fast_food,FAST FOOD JUNCTION,25.2606102,82.9915022,cafetaria gate road,,Varanasi
fast_food,Subway,25.4555766,81.8340272,Tashkent Marg,Civil Lines,Prayagraj
fast_food,La Pino's Pizza,25.4555771,81.8340099,Tashkent Marg,Civil Lines,Prayagraj
fast_food,Pahalwan Juice Stuff,25.4320255,81.8224764,Noorullah Road,Roshan Bagh,Prayagraj
food_court,Food Court,25.3358667,82.9771484,The Mall Road,Cantonment,Varanasi
food_court,Momo Time,25.340922,82.996684,Premchand Road,Cantonment,Varanasi
food_court,Gitanjali Fast Food corner,25.3482585,82.9941681,Premchand Road,,Varanasi
food_court,Ak fast food,25.3739415,82.9179851,NH31,,Varanasi
food_court,om thandhai ghar,25.3736304,82.9188606,NH31,,Varanasi
food_court,360 Degree dining,25.3683573,82.9275623,NH31,,Varanasi
food_court,sanzha chulha,25.3695226,82.9255995,NH31,,Varanasi
food_court,VISHWA CANTEN,25.2620444,82.9838058,Semi Circle Road 5,,Varanasi
food_court,SATWIK MMESS Q,25.2616233,82.9841298,Semi Circle Road 5,,Varanasi
food_court,NEW GIRLS HOSTEL CANTEEN,25.2611439,82.9838851,Semi Circle Road 5,,Varanasi
ice_cream,Night Food Market,25.4510376,81.8737839,krishna kunj road,Allahpur,Prayagraj
ice_cream,Ice cream shop,25.3437312,82.9957353,Premchand Road,Cantonment,Varanasi
ice_cream,Rita Ice Cream Parlour,25.3255573,82.9925476,Patel Road,Cantonment,Varanasi
ice_cream,Baskin-Robbins,25.2904822,83.0018331,Ravindrapuri Road,,Varanasi
ice_cream,Amul Ice Cream Parlour,25.3040409,82.9771752,Raja Sir Motichand Road,,Varanasi
ice_cream,Lovely Icecream,26.2746039,82.472006,MDR113E,,Sultanpur
ice_cream,Robin & Baskin,25.4546929,81.8344152,Sardar Patel Marg,Civil Lines,Prayagraj
restaurant,Chatni,25.2941407,83.0050673,Pandit Manmohan Malviya Road,,Varanasi
restaurant,Marwadi Bhojanalay,25.311842,83.0109213,Tripura Bhairwi,,Varanasi
restaurant,Phulwari Restaurant,25.3099636,83.0071967,Dashashwamedh Road,,Varanasi
restaurant,Pizzeria Vaatika,25.289353,83.0060414,Assi Ghat Road,,Varanasi
restaurant,Karki's Restaurant,25.2882184,83.0053907,Assi Ghat Road,,Varanasi
restaurant,Kerala Cafe,25.2997186,83.001183,Durgakund Road,,Varanasi
restaurant,I:ba,25.2963844,83.0038952,Godowalia Lanka Road,,Varanasi
restaurant,Madhu Bahar,25.2886758,83.0039218,Pandit Manmohan Malviya Road,,Varanasi
