Amenity Type,Name,Latitude,Longitude
bar,Lassi,25.4299814,81.8610072
bar,pravin bar,25.4583316,81.8639091
bar,aashish,25.4548525,81.8619289
bar,raju internationals,25.4571147,81.8656686
bar,beer bar mosowo,25.4492569,81.8578098
bar,Barcode,25.4550626,81.8349598
bar,Unknown,25.4500106,81.7829731
bar,Unknown,25.4501374,81.7841237
bar,Unknown,25.4501771,81.7833058
bar,Unknown,25.4504691,81.7838431
bar,Unknown,25.4501942,81.7831611
bar,Unknown,25.4497965,81.7844156
bar,Unknown,25.4510259,81.8318108
cafe,cyber cafe,25.4389955,81.8585493
cafe,jungle canteen,25.4943395,81.8624154
cafe,Unknown,25.4284443,81.7390572
cafe,SHIVAM CAFE,25.4540569,81.8673507
cafe,sanam cafe,25.4554516,81.8633732
cafe,amitabh cafe,25.4515721,81.8720321
cafe,star world cafe,25.4517357,81.8723434
cafe,nilgiri cafe,25.4506044,81.8737826
cafe,prayagraj cafe,25.4456327,81.8830037
cafe,murli ram,25.4485167,81.8616121
cafe,nescafe,25.4483036,81.8583077
cafe,DEEPAK CANTEEN,26.1867562,81.6801770
cafe,CAFE 96,25.4921714,81.8645434
cafe,Old School Cafe,25.4547275,81.8334642
cafe,Coffee Machine,25.4571116,81.8352448
cafe,Cafe Coffee Day,25.4524789,81.8369485
cafe,Unknown,25.4382425,81.8331170
cafe,Unknown,25.4502906,81.7822403
cafe,Unknown,25.4497761,81.7823272
cafe,Unknown,25.4497636,81.7815341
cafe,Unknown,25.4500828,81.7839337
cafe,Unknown,25.4497431,81.7841149
cafe,Unknown,25.5275092,81.8537559
cafe,Parinda Cafe,25.4065675,81.8679108
cafe,The Rutba,24.5429210,81.2967838
cafe,O-Cafe,26.2249032,81.2404120
cafe,Nescafe,26.2240432,81.2405572
cafe,SUVISTO SHAKES,25.4622300,81.8408364
cafe,MAHI CAFE,25.4638380,81.8590260
cafe,Pradeep Cafe,26.3117434,82.7330267
cafe,Chai Sutta Bar,26.2533939,82.0709106
cafe,Rasna Buzz,25.4554364,81.8346715
cafe,Starbucks,25.4526592,81.8340924
fast_food,McDonald's,25.4504642,81.8363247
fast_food,Softy Corner,25.4500252,81.8346828
fast_food,Tuck In,25.4542380,81.8349230
fast_food,Maurya Food shop,25.4638906,81.8685714
fast_food,kabab roll,25.4395737,81.8601102
fast_food,kinara cafe,25.4308661,81.8696222
fast_food,Night Food Market,25.4509157,81.8738052
fast_food,KFC,25.4494547,81.8396055
fast_food,bablu ka burger,25.4562764,81.8719369
