Latitude,Longitude
26.0703601,83.1808583
25.4299814,81.8610072
25.3088759,82.9993278
25.3092532,83.0026692
25.3387221,82.980089
25.3035592,82.9761299
25.3095133,82.9897179
25.4583316,81.8639091
25.4548525,81.8619289
25.4571147,81.8656686
25.4492569,81.8578098
25.4550626,81.8349598
25.2614529,82.9906851
25.2880028,83.0046032
26.5569604,82.6562059
26.5574714,82.6569801
25.3123734,83.0113542
25.3081571,83.0101627
25.4389955,81.8585493
25.2712044,82.9930809
25.30266,83.00726
25.3089017,83.007494
25.2881479,83.0044397
25.2894538,83.0061725
25.3084503,83.0103322
25.2884351,83.0038522
25.4943395,81.8624154
25.2784608,83.0055163
25.3082151,83.010145
25.2830628,83.0036434
25.2604996,82.9914058
25.3091913,83.0118591
25.2881316,83.0049416
25.3033262,83.0082942
25.3062179,83.0090205
25.288114,83.0016205
25.3035255,83.0081913
25.303328,83.0083173
25.2877021,83.0066154
25.2935693,83.0021214
25.4540569,81.8673507
25.4554516,81.8633732
25.4515721,81.8720321
25.4517357,81.8723434
25.4506044,81.8737826
25.4456327,81.8830037
25.4485167,81.8616121
25.4483036,81.8583077
25.4921714,81.8645434
25.305784,83.0072379
25.4547275,81.8334642
25.4571116,81.8352448
25.4524789,81.8369485
25.4065675,81.8679108
25.2634417,82.9817728
25.2584148,82.9867973
25.2631534,82.9867534
25.2635427,82.9816794
25.2656454,82.9888228
25.2639917,82.9841062
25.2635531,82.9837997
25.2635827,82.985313
25.46223,81.8408364
25.463838,81.859026
25.2640003,82.9842197
25.2813597,83.0032837
25.2634197,82.9817711
26.3117434,82.7330267
25.2604362,82.9816157
25.2630879,82.9904318
25.2631635,82.9848995
25.2630437,82.9832607
26.2533939,82.0709106
25.4554364,81.8346715
25.4526592,81.8340924
25.4504642,81.8363247
25.4500252,81.8346828
25.454238,81.834923
25.4638906,81.8685714
25.2972961,83.0010019
25.2974007,83.0012414
25.4395737,81.8601102
25.4308661,81.8696222
25.2962842,83.0001463
25.4509157,81.8738052
25.2890288,83.0037725
25.2996052,83.0012047
25.3067302,83.0093202
25.3356916,82.9778522
25.3359581,82.9771432
25.4494547,81.8396055
25.2800039,83.0030463
25.2820758,83.0032302
25.343571,82.996155
25.3375274,82.9961847
25.3119632,82.9883947
25.3164264,82.9897151
25.3165126,82.9900488
25.3166111,82.9901884
25.2909115,83.0016358
25.4562764,81.8719369
25.4546405,81.8748663
25.4555483,81.8736007
25.4560368,81.8637866
25.4516574,81.873604
25.451503,81.8740761
25.4501805,81.8746119
25.4644911,81.8497076
25.4631397,81.8514024
25.4499854,81.8594878
25.4571872,81.8562956
25.4547575,81.8348243
25.45035,81.8323071
25.4016604,81.8692986
25.4518973,81.8349147
25.4499169,81.8342057
25.436335,81.8340632
25.4364805,81.8340787
25.3986363,81.8740825
25.3985122,81.874378
25.4558061,81.8354896
25.4364995,81.8409951
25.4364808,81.8410678
25.4530143,81.8367566
25.4525146,81.836957
25.2609084,82.9869136
25.3797685,81.8461126
25.4646157,81.8665323
25.4641834,81.8653992
25.3940224,81.8609955
25.4368027,81.8228033
25.4520481,81.8351929
26.3510197,82.2292754
25.2630278,82.9833066
25.2626622,82.9816188
25.2622119,82.9816507
25.2643405,82.9816314
25.3665042,82.9302561
26.2753346,82.4711766
25.2606031,82.9869929
25.2607979,82.9869582
26.275178,82.4711322
25.46547,81.8715912
25.4638403,81.8655001
25.2616513,82.9840876
25.2629379,82.9817425
25.2628297,82.9817641
25.2611611,82.9816341
26.3117913,82.7310086
26.315143,82.7329784
26.313073,82.7366084
25.2594391,82.9816215
25.3357086,82.9774995
25.2590436,82.9813285
26.315057,82.7369626
26.315024,82.7399212
25.2606102,82.9915022
25.4555766,81.8340272
25.4555771,81.8340099
25.4320255,81.8224764
25.3358667,82.9771484
25.340922,82.996684
25.3482585,82.9941681
25.3739415,82.9179851
25.3736304,82.9188606
25.3683573,82.9275623
25.3695226,82.9255995
25.2620444,82.9838058
25.2616233,82.9841298
25.2611439,82.9838851
25.4510376,81.8737839
25.3437312,82.9957353
25.3255573,82.9925476
25.2904822,83.0018331
25.3040409,82.9771752
26.2746039,82.472006
25.4546929,81.8344152
25.2941407,83.0050673
25.311842,83.0109213
25.3099636,83.0071967
25.289353,83.0060414
25.2882184,83.0053907
25.2997186,83.001183
25.2963844,83.0038952
25.2886758,83.0039218
25.3084967,83.009266
25.3085405,83.0097158
25.4527005,81.8346442
25.4572438,81.8600908
25.4539899,81.8348188
25.3069623,83.0098553
25.3051585,83.0081148
25.3089237,83.0121258
26.3073222,83.0722656
26.6245265,83.3836093
25.309108,83.0122192
26.0698073,83.1809162
26.0699991,83.1809873
25.3049914,83.008162
25.3092903,83.0076598
25.3096482,83.0109745
25.3103371,83.0098353
25.2884268,83.0038878
24.9230633,81.6863035
25.3079671,83.0100512
25.3083577,83.0096147
25.29116,83.0043433
25.309354,83.0062499
25.2812969,83.0031147
25.2941027,83.0047932
25.3347023,82.9798741
25.2965602,82.4048177
25.289363,83.0056019
25.3042274,83.0075314
25.31117,83.0134979
